crm_name;crm_cp;crm_insee;crm_id;crm_commune;gt_siret;crm_adresse;SITE_CLI_COMMUNE;sirene_insee;sirene_cp;sirene_etat;loc_match_type
LOGIDOME;63000;63113;FO900412;CLERMONT FERRAND;38537325300025;14 Rue Buffon;CLERMONT FERRAND;63113;63000;F;insee
Site de la Marina (Port de Plaisance);59140;59183;FR039959;DUNKERQUE;24590042800013;471 Avenue des Bancs de Flandres;DUNKERQUE;59183;59140;A;insee
DSI Dunkerque;59140;59183;FO008155;DUNKERQUE;20002715900017;Ruelle aux Pommes;DUNKERQUE;59183;59140;A;insee
LE CHATEAU COQUELLE;59240;59183;FR018399;DUNKERQUE;78360435800029;Rue de Belfort;DUNKERQUE;59183;59240;A;insee
TERRE NEUVE (STUDIO 43);59140;59183;FR018400;DUNKERQUE;78360409300022;Pôle Marine Rue des fusiliers marins;DUNKERQUE;59183;59140;A;insee
Nouveau ponton quai Sainte Marie Chalon sur Saône;71100;71076;FO007924;CHALON SUR SAONE;21710076700011;Quai Sainte Marie;CHALON SUR SAONE;71076;71100;A;insee
LES 4 ECLUSES;59140;59183;FR018401;DUNKERQUE;38776278400024;Îlot des 4 Ecluses 1, rue de la Cunette;DUNKERQUE;59183;59140;A;insee
IFREMER;44000;44109;FO002453;NANTES;33071536800107;RUE L'ILE D'YEU;NANTES;44109;44300;A;insee
SEMITAN - DIRECTION;44000;44109;FR003870;NANTES;31468496000045;3 RUE BELLIER;NANTES;44109;44000;A;insee
PREFECTURE DE MELUN;77000;77288;FR004798;Melun;17770001000016;12 avenue des Saint Pères;Melun;77288;77000;A;insee
SDIS DE MELUN;77000;77288;FR004799;Melun;28770831700014;56 avenue de Corbeille;Melun;77288;77000;A;insee
CG77-HÔTEL DU DÉPARTEMENT BAT A;77000;77288;FR017913;Melun;22770001000019;12 RUE DES SAINTS PÈRES BAT A;Melun;77288;77000;A;insee
SDIS KLEBER;54270;54184;SF000402;ESSEY LES NANCY;28540001600033;46 Rue du 8 Mai 1945;ESSEY LES NANCY;54184;54270;A;insee
SERVICE DEPARTEMENTAL D'INCENDIE ET SECOURS;44240;44035;FO002825;CHAPELLE SUR ERDRE;28440001700018;12 RUE ARAGO;CHAPELLE SUR ERDRE;44035;44240;A;insee
CENTRE DE SECOURS NANTES (NORD);44700;44114;FO002827;ORVAULT;21440114300018;BOULEVARD RENÉ CASSIN;ORVAULT;44114;44700;A;insee
AGENCE GOUDY;44000;44109;FR003607;NANTES;27440002700125;8 RUE GABRIEL GOUDY;NANTES;44109;44200;A;insee
AGENCE BOTTIERE;44000;44109;FR003596;NANTES;27440002700133;82 RUE DE LA BOTTIÈRE;NANTES;44109;44300;A;insee
AGENCE CARTIER;44000;44109;FR003598;NANTES;27440002700117;7 RUE JACQUES CARTIER;NANTES;44109;44300;A;insee
AGENCE JAMET;44000;44109;FR003610;NANTES;27440002700091;8 RUE DU JAMET;NANTES;44109;44100;A;insee
Agence Watteau;44000;44109;FR006901;NANTES;27440002700083;20, rue Antoine Watteau;NANTES;44109;44100;A;insee
Agence MALAKOFF;44000;44109;FR005454;NANTES;27440002700018;BOULEVARD DE BERLIN;NANTES;44109;44000;F;insee
AGENCE FEYDER;44000;44109;FR003602;NANTES;27440002700158;6 RUE JACQUES FEYDER;NANTES;44109;44100;A;insee
ETIER NANTES HABITAT;44000;44109;FR004919;NANTES;75196902300017;64 rue de l'Etier;NANTES;44109;44000;F;insee
agence EINSTEIN;44000;44109;FR037452;NANTES;27440002700307;190 Avenue Louis De Broglie, Bât A;NANTES;44109;44000;A;insee
LABORIT CMP GAY LUSSAC;86000;86194;FO005959;POITIERS;26860002000690;14 rue GAY LUSSAC;POITIERS;86194;86000;A;insee
CH LABORIT SIEGE;86000;86194;FO005804;POITIERS;26860002000013;370 AV JACQUES COEUR;POITIERS;86194;86000;A;insee
CHU Amiens Sud;80000;80021;FO007815;AMIENS;26800014800018;1 Rond Point du Pr Christian Cabrol;AMIENS;80021;80080;F;insee
NOUVEAU SITE CH W. MOREY;71100;71076;FO003167;CHALON SUR SAONE;26710076600109;LES PRES DEVANT;CHALON SUR SAONE;71076;71100;A;insee
IFSI Chalon;71100;71076;FR019479;CHALON SUR SAONE;26710076600117;141 Avenue Boucicaut;CHALON SUR SAONE;71076;71100;F;insee
RESIDENCE ESQUILIN;71100;71076;SF000690;CHALON SUR SAONE;26710052700345;5 Rue Colette;CHALON SUR SAONE;71076;71100;A;insee
