N° Service;N° Contrat;Date création;Date signature;Type;Projet;Réf commande client;Date activation;Statut Saisie;Etat;Type réseau;Réseau;Opérateur commercial;Technologie;Offre;Actif/passif Ftth;Redevance;Redevance (ancien tarif);Périodicité facturation;GTR;Options;GTR (ancien tarif);FAS;FAR;FAD;PDC 12m;PDC FAS/FAR (hors FAD);PDC totale;Type de pack;Type de GTR;Débit;Engagement (mois);Porte de Collecte;Client final;Adresse;Commune;Code Postal;Code INSEE;Longueur FON (m);Source;Zone Technique
AC001651;GDL-806-17-0295;06/02/2017;09/02/2017;Création (A);;Filmor BPEA;06/12/2017;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;UNYC;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;CN001059;Filmor;33 Avenue Franklin Roosevelt;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
AC001853;GDL-855-17-0012;25/06/2017;29/06/2017;Création (A);;SABEKO BPEA;14/12/2017;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;DESTINY FRANCE PARTENAIRES  OP;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;CN001066;Sabeco;92 Avenue des Bruyères;DECINES CHARPIEU;69150;69275;0;COVAGE INFRA;
AC001983;GDL-147-17-0326;08/11/2017;08/11/2017;Création (A);;;23/02/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;MUONA SAS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;;Groupe SIRENE (IPO);17 Rue Émile Zola;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC002094;GDL-207-17-0326;24/08/2017;29/08/2017;Création (A);;102017071753/102951;09/02/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;INIT SYS ALPHALINK;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;CN001030;ITAFRAN Site 2;21 AVENUE DE L INDUSTRIE;CORBAS;69960;69273;0;COVAGE INFRA;
AC002199;GDL-147-18-0005;08/02/2018;08/02/2018;Création (A);;;09/10/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;MUONA SAS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;;CMT;76 Rue Paul et Marc Barbezat;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
AC002217;GDL-768-17-0221;24/11/2017;24/11/2017;Création (A);;;26/02/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;CORIOLIS TELECOM;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;CN001051;CHAMPILYON;69 Rue Marcel Merieux;CORBAS;69960;69273;0;COVAGE INFRA;
AC002224;GDL-768-17-0218-1;27/07/2021;30/07/2021;Création (A);;;02/08/2021;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;CORIOLIS TELECOM;FttO;BPEA;;200,00 €;;Mensuelle;;;;;;50,00 €;2 400,00 €;;2 400,00 €;BPEA 10M/100M_24 mois;;/10M100M;36;CN001051;Lyon Select;69 Rue Marcel Merieux;CORBAS;69960;69273;0;COVAGE INFRA;
AC002234;GDL-863-17-0001;30/10/2017;31/10/2017;Création (A);;;23/02/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;K-NET;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;CN001036;SOLY IMPORT;51 Rue Marcel Merieux;CORBAS;69960;69273;0;COVAGE INFRA;
AC002265;GDL-235-17-0005;05/10/2017;10/10/2017;Création (A);;MEDISTOCK BPEA;16/03/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;ROVERBA CGS;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;;MEDISTOCK;Zi du Carreau - Rue du Carreau;CORBAS;69960;69273;0;COVAGE INFRA;
AC002293;GDL-207-18-0011;28/02/2018;01/03/2018;Création (A);;;15/03/2018;Traité;En exploitation;DSP Covage;DSP Covage - Grand Lyon;INIT SYS ALPHALINK;FttO;BPEA;;75,00 €;;Mensuelle;;;;360,00 €;;;900,00 €;360,00 €;1 260,00 €;BPEA 2M/100M_12 mois;;/2M100M;12;CN001030;UNIVERSAL ARCHERY;81 Rue Elisée Reclus;DECINES-CHARPIEU;69150;69275;0;COVAGE INFRA;
