crm_name,crm_address,score,semantic,decision,reason,siret,candidate_name,candidate_addr,state
ELLERS,29 Boulevard Charles de Gaulle,0.9999158382415771,1.0,AUTO,score>=0.99,79446051900026,ELLERS,29 BOULEVARD CHARLES DE GAULLE,OUVERT
ASLI - ZACM,4 Avenue du 24 Août 1944,0.9999133348464966,0.9999999403953552,AUTO,score>=0.99,44112152200029,ASLI ZACM,4 AVENUE DU 24 AOUT 1944,OUVERT
TECNIPLAST FRANCE,37 RUE EMILE ZOLA,0.9999115467071532,1.0,AUTO,score>=0.99,45126922900048,TECNIPLAST FRANCE,37 RUE EMILE ZOLA,OUVERT
SOLY IMPORT,51 Rue Marcel Merieux,0.9999066591262816,1.0,AUTO,score>=0.99,77983234400070,SOLY IMPORT,51 RUE MARCEL MERIEUX,OUVERT
SERPAY,25 Avenue Beauregard,0.9998990297317504,1.0,AUTO,score>=0.99,42322927700029,SERPAY,25 AVENUE BEAUREGARD,OUVERT
VIGNAL SYSTEMS,19 AVENUE DU 24 AOUT 1944,0.9998881816864014,0.9999999403953552,AUTO,score>=0.99,45032486800030,VIGNAL SYSTEMS,19 AVENUE DU 24 AOUT 1944,OUVERT
FRANCE VIANDES,30 Avenue du 24 Août 1944,0.9998871088027954,1.0,AUTO,score>=0.99,31563143200046,FRANCE VIANDES,30 AVENUE DU 24 AOUT 1944,OUVERT
SOCIETE MODERNE D'ISOLATION,33 Route de Lyon,0.9998779296875,0.9999999403953552,AUTO,score>=0.99,33245542700028,SOCIETE MODERNE D'ISOLATION,33 ROUTE DE LYON,FERME
DOLONIS,42 Rue Vaucanson,0.9998751878738404,0.9999998807907104,AUTO,score>=0.99,42086307800036,DOLONIS,42 RUE VAUCANSON,OUVERT
CHAMPILYON,69 Rue Marcel Merieux,0.9998729228973388,1.000000238418579,AUTO,score>=0.99,38388325300023,CHAMPILYON,69 RUE MARCEL MERIEUX,OUVERT
PLEXY SIGN,48 Rue Vaucanson,0.9998713731765748,1.0,AUTO,score>=0.99,81021053400022,PLEXY SIGN,48 RUE VAUCANSON,OUVERT
CMR LOCATION,8 Avenue de l'Industrie,0.999869704246521,1.0,AUTO,score>=0.99,49069921200026,CMR LOCATION,8 AVENUE DE L'INDUSTRIE,OUVERT
HTI Technologies,49 Avenue Franklin Roosevelt,0.999853253364563,0.9897515773773193,AUTO,score>=0.99,39236472500029,HTI TECHNOLOGIES,49 AVENUE FRANKLIN ROOSEVELT,OUVERT
COMPTOIR DE L AIL,69 Rue Marcel Merieux,0.9998481273651124,1.0000001192092896,AUTO,score>=0.99,40091271300023,COMPTOIR DE L AIL,69 RUE MARCEL MERIEUX,OUVERT
CMT,76 Rue Paul et Marc Barbezat,0.9998462200164796,1.0,AUTO,score>=0.99,30742038000023,CMT,76 RUE PAUL ET MARC BARBEZAT,OUVERT
PORTUGAULE,Rue du Carreau,0.9998315572738647,0.9999998807907104,AUTO,score>=0.99,44062776800052,MB DIFFUSION,RUE DU CARREAU,OUVERT
COFRULY,69 Rue Marcel Merieux,0.9998241066932678,1.0000001192092896,AUTO,score>=0.99,38230906000020,COFRULY,69 RUE MARCEL MERIEUX,OUVERT
Mecanhor,103 Avenue Franklin Roosevelt,0.9998233914375304,0.8701701760292053,AUTO,score>=0.99,95751549700031,MECANHOR,103 AVENUE FRANKLIN ROOSEVELT,OUVERT
RHODANIENNE DE NEGOCE ET DE LOCATION,Rue Louis Pradel,0.9998094439506532,0.9999999403953552,AUTO,score>=0.99,41983805700067,RHODANIENNE DE NEGOCE ET DE LOCATION,65 RUE LOUIS PRADEL,OUVERT
ITAFRAN,23 AVENUE DE L'INDUSTRIE,0.9998088479042052,1.0,AUTO,score>=0.99,30549218300143,BDF,21 AVENUE DE L'INDUSTRIE,OUVERT
MEDISTOCK,Zi du Carreau - Rue du Carreau,0.9998030066490172,1.0,AUTO,score>=0.99,42045590900036,MEDISTOCK,RUE DU CARREAU,OUVERT
OLYMPIQUE LYONNAIS,10 Avenue Simone Veil,0.9998016953468324,1.0,AUTO,score>=0.99,38507188100093,OLYMPIQUE LYONNAIS,10 AVENUE SIMONE VEIL,OUVERT
TRANS GROUPAGE EXPRESS,8 Avenue de l’Industrie,0.9997946619987488,0.9189766645431519,AUTO,score>=0.99,53278720700036,T.G.E,8 AVENUE DE L'INDUSTRIE,OUVERT
MASE RHONE ALPES,4 Avenue du 24 Août 1944,0.9997935891151428,1.0,AUTO,score>=0.99,48239538100023,ASSOCIATION,4 AVENUE DU 24 AOUT 1944,OUVERT
MAHLE AFTERMARKET FRANCE SAS,2bis Rue de Catalogne,0.999786913394928,1.0,AUTO,score>=0.99,95850100900129,COFFI,6 RUE DE CATALOGNE,OUVERT
PRIMEURS DU SUD EST,69 Rue Marcel Merieux,0.99977844953537,0.9999998807907104,AUTO,score>=0.99,78015368000076,VINDRY,69 RUE MARCEL MERIEUX,OUVERT
FONTBONNE & FILS,57 Rue Émile Zola,0.999756634235382,0.9718170166015625,AUTO,score>=0.99,96650042300035,FONTBONNE ET FILS,57 RUE EMILE ZOLA,OUVERT
BUFAB FRANCE,21 Avenue du 24 Août 1944,0.9997510313987732,1.0,AUTO,score>=0.99,35323743100088,CHAPELLET,21 AVENUE DU 24 AOUT 1944,OUVERT
COTE FRAIS DISTRIBUTION,17 Rue Du Vercors,0.999739110469818,0.9521743059158325,AUTO,score>=0.99,79143049900032,COTE FRAIS DISTRIBUTION LYON,17 RUE DU VERCORS,OUVERT
DASIR (Dépot Auto Sport Industrie Rhodanien),5 Rue de Catalogne,0.9997352957725524,0.7658998966217041,AUTO,score>=0.99,30327422900051,DASIR,5 RUE DE CATALOGNE,OUVERT
Lyon Select,69 Rue Marcel Merieux,0.9996609687805176,0.7034887671470642,AUTO,score>=0.99,42414632200021,EKVAL PRIMEURS,69 RUE MARCEL MERIEUX,OUVERT
DECINES - COLLEGE BASTIE,107-115 rue Emile Zola,0.9996604919433594,0.8882231712341309,AUTO,score>=0.99,19691495600012,CLG,107 RUE EMILE ZOLA,OUVERT
CHARCUTERIE TRAITEUR SELECTION,7 Avenue de Montmartin,0.9996569156646729,1.0,AUTO,score>=0.99,95039687900088,CTS,5 AVENUE DE MONTMARTIN,FERME
MERGER,15 Avenue de Montmartin,0.9996552467346193,1.0,AUTO,score>=0.99,80931437000028,MERGER,15 AVENUE DE MONTMARTIN,OUVERT
EBERLE,20 BOULEVARD DES NATIONS,0.9996517896652222,0.9207085967063904,AUTO,score>=0.99,44974369900026,EBERLE FRANCE,20 BOULEVARD DES NATIONS,OUVERT
HTI MED,65 Avenue Franklin Roosevelt,0.9996402263641356,0.9999999403953552,AUTO,score>=0.99,53759247900019,HTI MED,65 AVENUE FRANKLIN ROOSEVELT,OUVERT
DELTA SERVICE LOCATION,29 Route de Lyon,0.9996102452278136,0.9999999403953552,AUTO,score>=0.99,31874347300163,DSL,29 ROUTE DE LYON,OUVERT
MAIRIE DE CORBAS,1 place Charles Jocteur,0.9996030926704408,0.9480947256088257,AUTO,score>=0.99,21690273400013,MAIRIE,PL CHARLES JOCTEUR,OUVERT
PAACK LOGISTICS CORBAS,32 Rue Colière,0.9995991587638856,0.928650975227356,AUTO,score>=0.99,84144832700087,PAACK,32 RUE COLIERE,OUVERT
FRUITAS SANCHEZ,69 Rue Marcel Mérieux,0.9995800852775574,0.9744631052017212,AUTO,score>=0.99,31554738000024,FRUTAS SANCHEZ,69 RUE MARCEL MERIEUX,OUVERT
 GE FRUITS,69 Rue Marcel Mérieux,0.9995742440223694,1.000000238418579,AUTO,score>=0.99,82875878900022,GE FRUITS,69 RUE MARCEL MERIEUX,OUVERT
CAMSP de Décines  APAJH,15 AVENUE FRANKLIN ROOSEVELT,0.999541997909546,0.8347147703170776,AUTO,score>=0.99,78457968202902,FEDERATION APAJH,15 AVENUE FRANKLIN ROOSEVELT,OUVERT
EASYDIS CORBAS,44 Boulevard des Nations,0.9995386600494384,1.0,AUTO,score>=0.99,38312387400505,EASYDIS,BOULEVARD DES NATIONS,FERME
ALL IN ACADEMY,13 RUE MARCEAU,0.999537467956543,0.8680002689361572,AUTO,score>=0.99,90186658200025,ALL IN ACADEMY DECINES,13 RUE MARCEAU,OUVERT
G. JACQUEMMOZ ET FILS Corbas,43 Avenue Gabriel Péri,0.9995352029800416,1.0,AUTO,score>=0.99,30385874000051,G. JACQUEMMOZ ET FILS,43 AVENUE GABRIEL PERI,OUVERT
UNIVERSAL ARCHERY,81 Rue Elisée Reclus,0.99953031539917,1.0,AUTO,score>=0.99,81280940800014,UNIVERSAL ARCHERY,81 RUE ELISEE RECLUS,OUVERT
ADEL,29 Boulevard Charles de Gaulle,0.9995046854019164,1.0,AUTO,score>=0.99,95650716400021,ADEL,29 BOULEVARD CHARLES DE GAULLE,OUVERT
GIE FLAVIEN,16 RUE DE LOMBARDIE,0.9994956254959106,0.8813122510910034,AUTO,score>=0.99,38343468500038,GIE FLAVIEN GCAT,16 RUE DE LOMBARDIE,OUVERT
JOURDAN ET MARZE,69 Rue Marcel Merieux,0.9994864463806152,0.9225637912750244,AUTO,score>=0.99,41255269700028,JOURDAN ET MARZE SUCCESSEURS,69 RUE MARCEL MERIEUX,OUVERT
STAT Corbas,38 Avenue du 24 Août 1944,0.9994786381721495,1.0,AUTO,score>=0.99,32902163800229,STAT,38 AVENUE DU 24 AOUT 1944,OUVERT
DIATEX,8 Avenue de l’Industrie,0.99946790933609,1.0000001192092896,AUTO,score>=0.99,33999882500048,DIATEX,8 AVENUE DE L'INDUSTRIE,OUVERT
Sirene SAS,84 Avenue des Bruyères,0.9994658827781676,0.6248307228088379,AUTO,score>=0.99,43339808800024,SIRENE,84 AVENUE DES BRUYERES,FERME
PEINTURE VALBERT SAS,8 Rue Paul et Marc Barbezat,0.9994495511054992,0.9536504149436951,AUTO,score>=0.99,81269442000025,PEINTURES VALBERT,8 RUE PAUL ET MARC BARBEZAT,OUVERT
BAGTROTTER,20 Rue Paul et Marc Barbezat,0.999439299106598,1.0,AUTO,score>=0.99,38068469600095,BAGTROTTER,20 RUE PAUL ET MARC BARBEZAT,FERME
SOPINVEST,92 Avenue des Bruyères,0.999439299106598,1.0,AUTO,score>=0.99,50829414700055,SOPINVEST,92 AVENUE DES BRUYERES,OUVERT
APAJH 69 CAMSP DECINES,15 AVENUE FRANKLIN ROOSEVELT,0.9994250535964966,0.8762280941009521,AUTO,score>=0.99,78457968202902,FEDERATION APAJH,15 AVENUE FRANKLIN ROOSEVELT,OUVERT
L2G,17 Avenue du 24 Août 1944,0.999419927597046,0.9999999403953552,AUTO,score>=0.99,44888664800055,"LA GENERALE DE GASTRONOMIE, REMINOX, BM PRODUCTION",17 AVENUE DU 24 AOUT 1944,OUVERT
CORETEC CONCEPTION REALISAT,64 Avenue des Bruyères,0.9994169473648072,0.9279403686523438,AUTO,score>=0.99,41940199700038,CORETEC,64 AVENUE DES BRUYERES,OUVERT
COULEUR PRIMEUR,69 Rue Marcel Merieux,0.9993863105773926,0.8859927654266357,AUTO,score>=0.99,42037022300034,COULEURS PRIMEURS,69 RUE MARCEL MERIEUX,OUVERT
CORBAS - COLLEGE CASSIN,chemin des Romanettes,0.9993836879730223,0.7455765008926392,AUTO,score>=0.99,19692898000016,CLG,CHEMIN DES ROMANETTES,OUVERT
MAUFFREY,11 avenue du 24-août-1944,0.9993488192558287,0.892839252948761,AUTO,score>=0.99,95750241200076,MAUFFREY RHONE ALPES,11 AVENUE DU 24 AOUT 1944,OUVERT
ERIKS N.V.,28 Rue Wilson,0.9993441700935364,0.8825395703315735,AUTO,score>=0.99,37903755900091,ERIKS,28 RUE WILSON,OUVERT
REP,15 RUE DU DAUPHINE,0.9992947578430176,0.8308135271072388,AUTO,score>=0.99,35029321300012,REP INTERNATIONAL,15 RUE DU DAUPHINE,FERME
BLANC ROSSET LYON,5 Rue du Mont-Blanc,0.999278724193573,0.9374607801437378,AUTO,score>=0.99,30139418500047,LE PERE BLANC ALPES VOLAILLES,1 RUE DU MONT BLANC,FERME
KOPSTER HOTEL,12 AVENUE SIMONE VEIL,0.9992772936820984,1.0,AUTO,score>=0.99,83508352800025,KOPSTER HOTEL,12 AVENUE SIMONE VEIL,OUVERT
FEMAT,28 RUE LOUIS PRADEL,0.9992035031318665,0.9434489011764526,AUTO,score>=0.99,84287252500063,FEMAT GROUPE,28 RUE LOUIS PRADEL,OUVERT
CHRONOPOST - Agence DE CORBAS,6 Avenue Gabriel Péri ,0.9992033839225768,0.917206883430481,AUTO,score>=0.99,38396013501554,CHRONOPOST,6 AVENUE GABRIEL PERI,OUVERT
ITAFRAN Site 2,21 AVENUE DE L INDUSTRIE,0.9991425275802612,0.8852592706680298,AUTO,score>=0.99,30549218300143,BDF,21 AVENUE DE L'INDUSTRIE,OUVERT
ISOJET,14 Boulevard des Nations,0.999122679233551,0.8957250118255615,AUTO,score>=0.99,38502373400036,ISOJET EQUIPEMENTS,14 BOULEVARD DES NATIONS,OUVERT
EUROMASTER CORBAS,52 Rue Louis Pradel,0.9990841150283812,0.955595850944519,AUTO,score>=0.99,39252740400678,EUROMASTER FRANCE,52 RUE LOUIS PRADEL,OUVERT
Babolat Corbas,1 avenue du 24 Aout 1944,0.9990739822387696,0.6556079387664795,AUTO,score>=0.99,55213140100101,BABOLAT VS,1 AVENUE DU 24 AOUT 1944,OUVERT
CHRONOPOST - Agence  LYON SANTE FRESH,42 BOULEVARD DES NATIONS,0.9990718364715576,0.8360503911972046,AUTO,score>=0.99,38396013502974,CHRONOPOST,42 BOULEVARD DES NATIONS,OUVERT
SMEG FRANCE CORBAS,83 RUE MARCEL MERIEUX,0.9990468621253968,1.0000001192092896,AUTO,score>=0.99,34408301900085,SMEG,83 RUE MARCEL MERIEUX,OUVERT
FRIGO TRANSPORTS 69,Rue de la Vanoise,0.9990335702896118,1.0000001192092896,AUTO,score>=0.99,34450958300052,FRIGO TRANSPORTS 69,RUE DE LA VANOISE,OUVERT
MC2A DECINES,"35 rue Emile Zola, Rez-de-chaussée",0.998999297618866,1.0,AUTO,score>=0.99,92437886200305,MC2A,35 RUE EMILE ZOLA,OUVERT
DAD,7 Avenue de Montmartin,0.9989734888076782,0.9999998807907104,AUTO,score>=0.99,89766474400025,DAD,7 AVENUE DE MONTMARTIN,OUVERT
SMEG France,83 Rue Marcel Mérieux,0.9989521503448486,0.9805809259414673,AUTO,score>=0.99,34408301900085,SMEG,83 RUE MARCEL MERIEUX,OUVERT
SEI LYON,32 Rue Louis Pradel,0.9989442229270936,0.8692198991775513,AUTO,score>=0.99,31514474100040,SEI,32 RUE LOUIS PRADEL,FERME
SERF EXTREMITY,16 RUE DE LOMBARDIE,0.9989370703697203,0.8695582151412964,AUTO,score>=0.99,97350450900058,SERF,16 RUE DE LOMBARDIE,OUVERT
CAP VI CORBAS,2 Avenue de l Industrie,0.9989099502563475,0.8398486375808716,AUTO,score>=0.99,31857056100163,CAP V.I,18 AVENUE DE L'INDUSTRIE,OUVERT
LES BANQUES ALIMENTAIRES,127 Avenue Franklin Roosevelt,0.9987381100654602,0.7892460823059082,AUTO,score>=0.99,38078113800033,BANQUE ALIMENTAIRE DU RHONE,127 AVENUE FRANKLIN ROOSEVELT,OUVERT
TRANSPORTS FRIGORIFIQUES DU VIVARAIS,24 Avenue du 24 Août 1944,0.9983198046684264,0.8567187786102295,AUTO,score>=0.99,53112426100029,VIVARAIS LYON,26 AVENUE DU 24 AOUT 1944,OUVERT
JNC,1 IMPASSE DU RHONE,0.9983160495758056,0.8920288681983948,AUTO,score>=0.99,79341104200013,J.N.C,1 IMPASSE DU RHONE,OUVERT
PROVIDIS SIEGE,11 Rue Marcel Mérieux,0.9982925057411194,0.8448797464370728,AUTO,score>=0.99,42228238400037,PROVIDIS LOGISTIQUE,11 RUE MARCEL MERIEUX,OUVERT
METALDYNE-  AAM Powertrain Decines Manufacturing Facility,51 Rue Vaucanson,0.9982743263244628,0.722286581993103,AUTO,score>=0.99,41267067100020,METALDYNE INTERNATIONAL FRANCE,51 RUE VAUCANSON,OUVERT
MELEO,4 Rue des Allobroges,0.9980539083480836,0.9468293190002441,AUTO,score>=0.99,30870001200021,ENTREPRISE MELEO,4 RUE DES ALLOBROGES,OUVERT
SAS THE REVIVAL,2 Rue Colière,0.9980002045631408,0.6952636241912842,AUTO,score>=0.99,91505740000011,TIRE REVIVAL,2 RUE COLIERE,OUVERT
FEDERAL EXPRESS CORBAS,83 RUE MARCEL MERIEUX,0.997797966003418,0.8216906189918518,AUTO,score>=0.99,97350535701885,TNT,83 RUE MARCEL MERIEUX,OUVERT
MAHLE BEHR FRANCE ROUFFACH S.A.S Site Décines - Aftermarket,6 Rue de Catalogne,0.997771143913269,0.723681628704071,AUTO,score>=0.99,95850100900129,COFFI,6 RUE DE CATALOGNE,OUVERT
RAS INTERIM,5 Rue du Mont-Blanc,0.9975764155387878,0.8229914903640747,AUTO,score>=0.99,79470553300063,RAS 250,5 RUE DU MONT BLANC,OUVERT
GROUPE ADF,4 Rue Louis Pradel,0.9973312616348268,0.9032021164894104,AUTO,score>=0.99,48839388500030,CTRA,4 RUE LOUIS PRADEL,FERME
La Tresse du Boucher,4 impasse du Rhone,0.9968366622924804,0.8300439119338989,AUTO,score>=0.99,42476102100023,LA TRESSE DU BOUCHER,4 IMPASSE DU RHONE,OUVERT
