crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank,shap
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,82875878900022,0.9995742440223694,GE FRUITS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,1,
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,89124205900014,0.9985993504524231,GE FRUITS HOLDING,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,2,
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,48170771900029,0.9972410202026367,LUCEN FRUITS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,3,
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,51112302800017,0.9965544939041138,RHONE FRUITS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,4,
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,50743546900022,0.9822179675102234,RHONE ALPES FRUITS ET LEGUMES,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,5,
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,77564828000037,0.9948561191558838,ADAPEI L OISEAU BLANC,50 RUE NUNGESSER,DECINES-CHARPIEU,69150,69275,1,
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,21690275900010,0.912124752998352,MAIRIE,PLACE ROGER SALENGRO,DECINES-CHARPIEU,69150,69275,2,
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,43134405000015,0.6901431679725647,ASS CERCLE 11 DECINES,12 RUE CARNOT,DECINES-CHARPIEU,69150,69275,3,
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,91812179900012,0.6245798468589783,CHAMP BLANC,21 RUE PAUL ET MARC BARBEZAT,DECINES-CHARPIEU,69150,69275,4,
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,94962465400016,0.6198130249977112,DECINES GRAND LARGE IMMOBILIER,14 RUE DE LA FRATERNITE,DECINES-CHARPIEU,69150,69275,5,
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,77564828000300,0.9931735396385193,FOYER LE GRAND LARGE,216 RUE MARINO SIMONETTI,DECINES-CHARPIEU,69150,69275,1,
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,88915823400019,0.9793810248374939,IMMERSION GRAND LARGE,44 RUE DE LA REPUBLIQUE,DECINES-CHARPIEU,69150,69275,2,
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,77564828000037,0.9625434875488281,ADAPEI L OISEAU BLANC,50 RUE NUNGESSER,DECINES-CHARPIEU,69150,69275,3,
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,94962465400016,0.9612780213356018,DECINES GRAND LARGE IMMOBILIER,14 RUE DE LA FRATERNITE,DECINES-CHARPIEU,69150,69275,4,
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,38438227100011,0.9442710876464844,CENTRE CONTROLE ET SECURITE GRAND LARGE,24 RUE BALZAC,DECINES CHARPIEU,69150,69275,5,
ADEL,29 Boulevard Charles de Gaulle,69150,DECINES-CHARPIEU,95650716400021,0.9995046854019165,ADEL,29 BOULEVARD CHARLES DE GAULLE,DECINES-CHARPIEU,69150,69275,1,
