selection_ordinal,query_id,crm_name,crm_address,crm_postcode,crm_city
1,10958,ARNAL RESOTAINER,1084 AVENUE GILBERT MARTELLI,34200,SETE
2,10683,Groupe Vinet,5 avenue de La Loge,86440,MIGNE AUXANCES
3,10713,Observatoire Régional de la Santé Saint-Benoît,203 route de GENCAY,86280,Saint-Benoît
4,16028,Diversey,201 RUE CARNOT,94120,FONTENAY SOUS BOIS
5,fresh:FR027885,BNP PARIBAS LA MADELEINE,250 Avenue de la Republique,59110,LA MADELEINE
6,16700,ESPI LEVALLOIS,12 rue Belgrand,92300,LEVALLOIS PERRET
7,9370,PRIMEURS DU SUD EST,69 Rue Marcel Merieux,69960,CORBAS
8,10614,POITOO ADHESIFS,126 Rue de la Bugellerie,86000,POITIERS
9,10251,GE FRUITS,69 rue Marcel Mérieux,69960,CORBAS
10,fresh:FR010135,Novances Déchant et Associés,13 Rue Claude Chappe,69370,SAINT DIDIER AU MONT D OR
11,15253,Adapei 77,3 Rue Victor Hugo,77130,Montereau-Fault-Yonne
12,11778,ALCEANE,444 Avenue du Bois au Coq,76600,LE HAVRE
13,10242,TALENZ ARES LYON,26 Rue Berjon,69009,LYON
14,11201,COMPUFIRST By XEFI,396 RUE DU MAS DE VERCHANT,34000,MONTPELLIER
15,9500,IMAPOLE,158 Rue Léon Blum,69100,VILLEURBANNE
16,12605,Promotrans,11 Rue John Hadley,59650,Villeneuve-d'Ascq
17,13181,AFT SERVICES,2 Rue Jean Mermoz,,SAINTE LUCE SUR LOIRE
18,9711,CHEMIN AMENAGEMENT,119 Route d’Heyrieux,69800,Saint-Priest
19,fresh:AC009634,SOMUDIMEC,60 avenue Jean Mermoz,69008,LYON
20,15828,FIDAL VERSAILLES,3 Rue de Marly,78000,VERSAILLES
21,13273,Ginger Minds,5 Chemin du Pressoir Chênaie,44100,NANTES
22,12237,OXYA,"1, rue de Londres",59120,LOOS
23,14809,EBENE & TRADITION,3 Rue de la Croix Blanche,77310,PRINGY
24,10912,AFPA Beziers,"34, rue de Costesèque",34500,BEZIERS
25,15341,AXE ARCHITECTURE,260 RUE DE L'EPINET,77240,Vert Saint Denis
26,fresh:FR031301,TIFFANY & CO,76 Rue Bonaparte,75006,PARIS 6EME ARRONDISSEMENT
27,15182,ADAPEI 77 JUILLY,6 RUE DE LA MARGUETTE - 2 RUE DE MEAUX,77230,JUILLY
28,10567,AFTRAL SERVICE POITIERS,94 RUE DU PORTEAU,86000,POITIERS
29,12428,BOULANGER,Avenue de l’Avenir,59650,Villeneuve-d'Ascq
30,fresh:AC004247,TP2I,12 Rue Jacquard,69680,CHASSIEU
