selection_ordinal,query_id,label_kind,ground_truth_siret,reliability,evidence_url,error_family
1,10958,MATCH_EXACT,58268078100496,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/582680781,CURRENT_SIRET_AFTER_TRANSFER
2,10683,MATCH_EXACT,34486933400112,HIGH,https://www.groupevinet.fr/rgpd,MULTISITE_NAME_ADDRESS_EXACT
3,10713,MATCH_EXACT,82418653000021,HIGH,https://www.ors-na.org/contact/,MULTISITE_BRANCH
4,16028,MATCH_EXACT,41266854300108,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/412668543,COLOCATED_NAME_EXACT
5,fresh:FR027885,MATCH_EXACT,66204244942701,MEDIUM,https://fr.kompass.com/c/bnp-paribas/fra01ctgp/,LARGE_NETWORK_SIRET_COLLISION
6,16700,MATCH_EXACT,78461733400098,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/784617334,MULTISITE_BRANCH
7,9370,MATCH_EXACT,78015368000076,HIGH,https://www.pappers.fr/entreprise/primeurs-du-sud-est-780153680,MARKET_COLOCATION_NAME_EXACT
8,10614,MATCH_EXACT,41107057600037,HIGH,https://www.pappers.fr/entreprise/sas-poitou-adhesifs-411070576,BRAND_LEGALNAME_COLOCATED_HOLDING
9,10251,MATCH_EXACT,82875878900022,HIGH,https://api-avis-situation-sirene.insee.fr/identification/pdf/82875878900022,MARKET_COLOCATION_CURRENT_SIRET
10,fresh:FR010135,MATCH_EXACT,32156241500083,HIGH,https://www.pappers.fr/entreprise/novances-321562415,ADJACENT_SAME_SIREN_SITES
11,15253,MATCH_EXACT,78497191300438,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/78497191300438,MULTI_SITE_EXACT_ADDRESS
12,11778,MATCH_EXACT,48887534500024,HIGH,https://api-avis-situation-sirene.insee.fr/identification/pdf/48887534500024,EXACT_NAME_ADDRESS
13,10242,MATCH_EXACT,44516442900034,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/445164429,EXACT_NAME_ADDRESS
14,11201,MATCH_EXACT,85318202000018,HIGH,https://www.compufirst.com/mentions-legales,SUCCESSOR_ENTITY_DISAMBIGUATED
15,9500,MATCH_EXACT,53166299700059,HIGH,https://www.pappers.fr/entreprise/imapole-531662997,COLOCATED_ENTITY_RESOLVED_BY_NAME
16,12605,MATCH_EXACT,80863414100242,HIGH,https://www.promotrans.fr/wp-content/uploads/2024/06/PROMOTRANS-FPC_Certificat-RNQ_2024-2027.pdf,MULTI_SITE_EXACT_ADDRESS
17,13181,AMBIGUOUS,,MEDIUM,https://www.pappers.fr/entreprise/aft-775692015,COLOCATED_MULTIPLE_ACTIVE_SIRETS
18,9711,MATCH_EXACT,52407399600026,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/52407399600026,ACTIVE_REGISTRY_WITH_PROCEDURE
19,fresh:AC009634,MATCH_EXACT,31148234300028,MEDIUM,https://www.pappers.fr/entreprise/somudimec-311482343,UNREGISTERED_OR_STALE_BRANCH_ADDRESS
20,15828,MATCH_EXACT,52503152201273,HIGH,https://www.fidal.com/nos-implantations/paris/versailles,MULTI_SITE_EXACT_ADDRESS
21,13273,MATCH_EXACT,48377254700038,HIGH,https://www.societe.com/societe/ginger-minds-483772547.html,EXACT_NAME_ADDRESS
22,12237,MATCH_EXACT,42156896500139,MEDIUM,https://www.oxya.com/contact/france/,STALE_ADDRESS_TRANSFER
23,14809,MATCH_EXACT,44532059100032,HIGH,https://www.pappers.fr/entreprise/ebene-tradition-445320591,EXACT_NAME_ADDRESS
24,10912,AMBIGUOUS,,HIGH,https://api-avis-situation-sirene.insee.fr/identification/pdf/82436343600778,COLOCATED_GROUP_ENTITIES
25,15341,MATCH_EXACT,50926602900016,HIGH,https://entreprises.lefigaro.fr/axe-architecture-industrielle-et-cial-77/entreprise-509266029,ABBREVIATED_LEGAL_NAME
26,fresh:FR031301,MATCH_EXACT,38396517500136,HIGH,https://www.pappers.fr/entreprise/tiffany-co-383965175/comptes/TIFFANY%20%26%20CO%20-%20Comptes%20sociaux%202024%2023-07-2025.pdf,COLOCATION_DISAMBIGUATED_BY_EXACT_NAME
27,15182,MATCH_EXACT,78497191300222,HIGH,https://www.adapei77.org/etablissements/la-marguette/4/,COMPOUND_ADDRESS
28,10567,MATCH_EXACT,30540504500132,HIGH,https://catalogue-apprentissage.intercariforef.org/formation/116787P01113054050450013230540504500132-86194%23L01,EXACT_SITE
29,12428,MATCH_EXACT,34738457000573,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/347384570,EXACT_BRAND_ADDRESS
30,fresh:AC004247,MATCH_EXACT,84268431800020,HIGH,https://www.pappers.fr/entreprise/tp2i-842684318,COLOCATION_DISAMBIGUATED_BY_EXACT_NAME
