selection_ordinal,query_id,label_kind,ground_truth_siret,reliability,predicted_siret,acceptor_score,decision,prediction_correct,auto_error,error_family,evidence_url
1,10958,MATCH_EXACT,58268078100496,HIGH,58268078100496,0.983855546,REVIEW,True,False,CURRENT_SIRET_AFTER_TRANSFER,https://annuaire-entreprises.data.gouv.fr/entreprise/582680781
2,10683,MATCH_EXACT,34486933400112,HIGH,34486933400112,0.998901606,AUTO_MATCH,True,False,MULTISITE_NAME_ADDRESS_EXACT,https://www.groupevinet.fr/rgpd
3,10713,MATCH_EXACT,82418653000021,HIGH,82418653000021,0.443876207,REVIEW,True,False,MULTISITE_BRANCH,https://www.ors-na.org/contact/
4,16028,MATCH_EXACT,41266854300108,HIGH,41266854300108,0.308302075,REVIEW,True,False,COLOCATED_NAME_EXACT,https://annuaire-entreprises.data.gouv.fr/entreprise/412668543
5,fresh:FR027885,MATCH_EXACT,66204244942701,MEDIUM,66204244942701,0.956999958,REVIEW,True,False,LARGE_NETWORK_SIRET_COLLISION,https://fr.kompass.com/c/bnp-paribas/fra01ctgp/
6,16700,MATCH_EXACT,78461733400098,HIGH,88252490300011,0.895376325,REVIEW,False,False,MULTISITE_BRANCH,https://annuaire-entreprises.data.gouv.fr/entreprise/784617334
7,9370,MATCH_EXACT,78015368000076,HIGH,78015368000076,0.999421239,AUTO_MATCH,True,False,MARKET_COLOCATION_NAME_EXACT,https://www.pappers.fr/entreprise/primeurs-du-sud-est-780153680
8,10614,MATCH_EXACT,41107057600037,HIGH,41107057600037,0.456313282,REVIEW,True,False,BRAND_LEGALNAME_COLOCATED_HOLDING,https://www.pappers.fr/entreprise/sas-poitou-adhesifs-411070576
9,10251,MATCH_EXACT,82875878900022,HIGH,82875878900022,0.992829144,REVIEW,True,False,MARKET_COLOCATION_CURRENT_SIRET,https://api-avis-situation-sirene.insee.fr/identification/pdf/82875878900022
10,fresh:FR010135,MATCH_EXACT,32156241500083,HIGH,32156241500083,0.950179696,REVIEW,True,False,ADJACENT_SAME_SIREN_SITES,https://www.pappers.fr/entreprise/novances-321562415
11,15253,MATCH_EXACT,78497191300438,HIGH,78497191300438,0.671338916,REVIEW,True,False,MULTI_SITE_EXACT_ADDRESS,https://annuaire-entreprises.data.gouv.fr/etablissement/78497191300438
12,11778,MATCH_EXACT,48887534500024,HIGH,48887534500024,0.0511907153,REVIEW,True,False,EXACT_NAME_ADDRESS,https://api-avis-situation-sirene.insee.fr/identification/pdf/48887534500024
13,10242,MATCH_EXACT,44516442900034,HIGH,44516442900034,0.362222075,REVIEW,True,False,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/entreprise/445164429
14,11201,MATCH_EXACT,85318202000018,HIGH,85318202000018,0.865950525,REVIEW,True,False,SUCCESSOR_ENTITY_DISAMBIGUATED,https://www.compufirst.com/mentions-legales
