selection_ordinal,query_id,crm_name,crm_address,crm_postcode,crm_city
1,12646,LMG FINANCE,1 Rue de la Corderie,94550,Chevilly-Larue
2,13742,Promotrans,Boulevard Salvador Allende - Chemin du Vigneau,44800,SAINT HERBLAIN
3,11921,Pharmacie du grand Cap,CENTRE COMMERCIAL LE GRAND CAP porte 1,76600,LE HAVRE
4,14804,GK PERF,26 Avenue Christian Doppler,77700,BAILLY ROMAINVILLIERS
5,fresh:FR021511,CCMT,"11, Rue Léonard de Vinci",77170,BRIE COMTE ROBERT
6,16455,SOPRIBAT,2 Rue du Petit Fief,91700,Sainte-Geneviève-des-Bois
7,14805,COLLARD & TROLART THERMIQUE,"20, Avenue de l’Epinette",77100,MEAUX
8,14693,MPB,30 rue de Frégy,77610,FONTENAY TRESIGNY
9,fresh:FR029212,FNAC Carre Sénart,3 Allée du Préambule,77127,LIEUSAINT
10,fresh:FO007470,AUDIKA 231,231 Rue des Caboeufs,92230,GENNEVILLIERS
11,16191,LEGRAND SNC,5 Rue Jean Nicot,93500,PANTIN
12,11171,ATOLE,136 AVENUE DES RAZETEURS,34160,Castries
13,9219,Standard Textile SAS,"85, AV DE L'INDUSTRIE",69140,RILLIEUX LA PAPE
14,12210,URBAN CLEAN,139 RUE des Arts,59100,ROUBAIX
15,12062,BALGUERIE,48 Rue Denfert Rochereau,76600,LE HAVRE
16,9963,CYBELIM PROMOTION,27 RUE SAINTE BARBE,69110,STE FOY LES LYON
17,10492,AUVALIE,32 Rue Berjon,69009,LYON 9E ARRONDISSEMENT
18,fresh:FR022477,ASTONE PARTICIPATIONS,29 Rue Auguste Allonge,77780,BOURRON MARLOTTE
19,13832,AMB,13 rue de la Rabotière,44800,SAINT HERBLAIN
20,9519,PAUWELS,330 Allée des Hêtres,69760,LIMONEST
21,13668,MICHEL GLEN SARL,11 Rue du Bignon,44840,Les Sorinières
22,13982,SNDA Auto Lucéenne,9 rue Louis Armand,44980,STE LUCE SUR LOIRE
23,11123,AT PATRIMOINE,455 Avenue Alfred Sauvy,34470,Pérols
24,fresh:FR029301,SNCF CHAULNES,2 ROUTE D HALLU,80320,Chaulnes
25,9182,CNR,2 Rue André Bonin,69004,LYON
26,fresh:AC013450,CAPSTONE,300 Route Nationale,69760,LIMONEST
27,11198,Croix Rouge Francaise,2 Place Henry Dunant,34790,GRABELS
28,fresh:AC012286,AIDES,9 Rue de la Boucherie,63000,CLERMONT-FERRAND
29,13705,DOCUWORLD GROUP,2 Rue Gutenberg,44980,STE LUCE SUR LOIRE
30,16436,FRANCE MEDIAS MONDE,80 rue Camille Desmoulins,92130,ISSY LES MOULINEAUX
