selection_ordinal,query_id,crm_name,crm_address,crm_postcode,crm_city
1,13231,SECURITAS ORVAULT,1 Rond-Point de la Bigeottière,44700,ORVAULT
2,12649,HALLES MANDAR,20 Avenue de la Villette,94550,CHEVILLY LARUE
3,11702,ELIIS,3 rue Jean Monnet,34830,Clapiers
4,12383,RAMERY,768 Rue du Moulin,59193,ERQUINGHEM LYS
5,13806,BOREALE,10 Avenue Louis de Broglie,44300,NANTES
6,fresh:AC010170,BURGER KING,34 Rue Mozart,92110,CLICHY
7,9536,BDL PROMOTION,204 avenue Franklin Roosevelt,69500,BRON
8,16023,Vente unique,9 RUE JACQUART,93310,Le Pré-Saint-Gervais
9,12206,BNP PARIBAS LA MADELEINE,"99 Avenue de la République, Laterale",59110,LA MADELEINE
10,13687,FEDERATION DU BATIMENT LOIRE-ATLANTIQUE,4 Impasse Serge Reggiani,44800,Saint-Herblain
11,13820,Cap West Leinster,92 rue du Leinster,44240,CHAPELLE SUR ERDRE
12,13801,Ibis Nantes Centre Tour Bretagne,19 rue Jean Jaurès,44000,NANTES
13,9115,SANDVIK MINING AND CONSTRUCTION,19 Avenue du Maréchal de Lattre de Tassigny,69330,MEYZIEU
14,12635,DEWAFLEX,135 Avenue Roger Salengro,59100,ROUBAIX
15,15763,PIONEER ARGENTEUIL,6 Avenue du Marais,95100,ARGENTEUIL
16,13893,LE PHARE,14 Rue des Martyrs,44100,NANTES
17,fresh:AC016534,MSD 69,32 AVENUE DES FRÈRES MONTGOLFIER,69680,CHASSIEU
18,15981,MASSOUTRE LOCATIONS- AVIS - WISSOUS,2 Rue du Vaulorin,91320,WISSOUS
19,fresh:AC018843,APF FRANCE HANDICAP IEM Villeurbanne,49 bis Rue du Docteur Pierre-Fleury Papillon,69100,VILLEURBANNE
20,fresh:FR029062,VERBAU FRANCE,11 allée de Londres,80200,ESTREES DENIECOURT
21,9283,lycée professionnel Jean Lurcat,4 Rue Ludovic Arrachart,69008,LYON 8E ARRONDISSEMENT
22,10612,King Tony,3 rue des Imprimeurs,86000,POITIERS
23,9643,Transports Rapides Besson,2 rue Pierre Mendes France,69120,VAULX EN VELIN
24,11059,HYMEO LUNEL VIEL,60 avenue du Roucagnier,34400,LUNEL VIEL
25,fresh:FR017175,BLUE GREEN,8 Mail de la Justice,94440,MAROLLES EN BRIE
26,13945,STRATEGIE FINANCE PATRIMOINE,46 Rue Noire,44000,NANTES
27,15363,VTM AUTO,7 AVENUE DES RENARDIERES,77250,MORET SUR LOING ET ORVANNE
28,12122,RUKO,Rue de l'Yser,59480,LA BASSEE
29,13516,GUEGUEN AVOCATS,100 Rue du Leinster,44240,La Chapelle-sur-Erdre
30,fresh:FR028144,IMPACT CENTRE CHRETIEN,21 Rue des Vieilles Vignes,77183,CROISSY BEAUBOURG
31,10522,Edipack,175 rue Gustave Eiffel,69330,MEYZIEU
32,4800,SAMFI INGENIERIE,Rue du Poirier,14650,CARPIQUET
33,fresh:AC012478,SELARL DE BELVAL,84 RUE DE LA PART DIEU,69003,LYON 3EME ARRONDISSEMENT
34,11579,MDCS,9 Rue Charles Richet,34500,BEZIERS
35,11678,SAINT BENOIT IMMOBILIER,40 Boulevard Saint Jean,34150,aniane
36,15098,JEFF DE BRUGES DIFFUSION,12 ALLEE JOSEPH PAXTON,77164,FERRIERES
37,fresh:FR031463,FEDERATION FRANCAISE DU BATIMENT 91,7 Rue Lucien Sampaix,91700,Sainte-Geneviève-des-Bois
38,11560,JLV PROMOTION,49 bis Avenue du President Wilson,34500,Béziers
39,fresh:FR018872,LEA ET LEO,7 PLACE DE L'EUROPE,14200,HEROUVILLE SAINT CLAIR
