selection_ordinal,query_id,label_kind,ground_truth_siret,reliability,evidence_url,error_family
1,12646,MATCH_EXACT,43898364500013,HIGH,https://www.pappers.fr/entreprise/lmg-finance-438983645,EXACT_NAME_ADDRESS
2,13742,AMBIGUOUS,,HIGH,https://www.pappers.fr/entreprise/promotrans-fpc-promotrans-formation-professionnelle-continue-808634141,MULTIPLE_PROMOTRANS_ENTITIES
3,11921,MATCH_EXACT,41137153700019,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/411371537,EXACT_NAME_SITE
4,14804,MATCH_EXACT,82248646000030,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/822486460,CURRENT_ACTIVE_SUCCESSOR_SITE
5,fresh:FR021511,MATCH_EXACT,32051754300023,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/320517543,EXACT_NAME_ADDRESS
6,16455,MATCH_EXACT,44191653300041,HIGH,https://www.pappers.fr/entreprise/sopribat-441916533,LEGAL_ENTITY_AMONG_COLOCATED_GROUP
7,14805,MATCH_EXACT,42038702900010,HIGH,https://www.pappers.fr/entreprise/collard-trolart-thermique-420387029,ACTIVE_REGISTER_LIQUIDATION
8,14693,MATCH_EXACT,48889128400033,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/48889128400033,EXACT_NAME_ADDRESS
9,fresh:FR029212,MATCH_EXACT,34328238000306,HIGH,https://www.fnac.com/Fnac-Carre-Senart/srefDD3CAD55-1B86-57F0-52EE-BDA9C4AA1402,BRAND_TO_OPERATOR_SITE
10,fresh:FO007470,MATCH_EXACT,31061238700103,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/310612387,CURRENT_ACTIVE_NON_HEADQUARTERS
11,16191,MATCH_EXACT,38929058600269,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/38929058600269,SITE_SIRET_VS_GROUP_HEADQUARTERS
12,11171,MATCH_EXACT,38485731400064,HIGH,https://www.pappers.fr/entreprise/atole-384857314,EXACT_ADDRESS_AMONG_MULTISITE
13,9219,MATCH_EXACT,38296230600074,HIGH,https://www.societe.com/societe/standard-textile-382962306.html,EXACT_NAME_ADDRESS
14,12210,MATCH_EXACT,80472537200036,HIGH,https://www.pappers.fr/entreprise/urban-clean-804725372,EXACT_NAME_ADDRESS
15,12062,MATCH_EXACT,46420036900252,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/46420036900252,EXACT_SITE
16,9963,MATCH_EXACT,49822736200031,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/49822736200031,EXACT_NAME_ADDRESS
17,10492,MATCH_EXACT,50155501500038,HIGH,https://www.pappers.fr/entreprise/auvalie-501555015,LEGAL_ENTITY_AMONG_COLOCATED_GROUP
18,fresh:FR022477,MATCH_EXACT,50257588900030,HIGH,https://www.societe.com/societe/astone-participations-502575889.html,CURRENT_ACTIVE_SUCCESSOR_SITE
19,13832,MATCH_EXACT,82863313100028,HIGH,https://www.pappers.fr/entreprise/amb-828633131,LEGAL_ENTITY_AMONG_COLOCATED_GROUP
20,9519,MATCH_EXACT,32757953800056,HIGH,https://www.pappers.fr/entreprise/pauwels-327579538,ACTIVE_REGISTER_LIQUIDATION
21,13668,MATCH_EXACT,50775846400022,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/507758464,EXACT_NAME_ADDRESS
22,13982,MATCH_EXACT,42006605200010,MEDIUM,https://www.pappers.fr/entreprise/snda-auto-luceenne-420066052,ACTIVE_REGISTER_LIQUIDATION
23,11123,MATCH_EXACT,43860010800056,HIGH,https://www.pappers.fr/entreprise/at-patrimoine-438600108,ADDRESS_TYPE_VARIATION
24,fresh:FR029301,AMBIGUOUS,,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/844899757,MULTIPLE_SNCF_ENTITIES_SAME_ADDRESS
25,9182,MATCH_EXACT,95752090100019,HIGH,https://www.cnr.tm.fr/nous-contacter/,ACRONYM_EXACT_HEADQUARTERS
26,fresh:AC013450,MATCH_EXACT,75160184000059,HIGH,https://www.capstone.fr/contact/,LEGAL_ENTITY_AMONG_COLOCATED_GROUP
27,11198,MATCH_EXACT,77567227214968,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/77567227214968,PUBLIC_ALIAS_EXACT_SITE
28,fresh:AC012286,MATCH_EXACT,34949617400294,HIGH,https://finess.esante.gouv.fr/fininter/jsp/actionDetailEtablissement.do?noFiness=630005478,FINESS_EXACT_SIRET
29,13705,MATCH_EXACT,43937869600033,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/43937869600033,EXACT_NAME_ADDRESS
30,16436,MATCH_EXACT,50152402900086,HIGH,https://www.francemm.com/fr/legal-notice,OFFICIAL_LEGAL_NOTICE
