selection_ordinal,query_id,label_kind,ground_truth_siret,reliability,predicted_siret,acceptor_score,decision,prediction_correct,auto_error,error_family,evidence_url
1,12646,MATCH_EXACT,43898364500013,HIGH,43898364500013,0.9923475,REVIEW,True,False,EXACT_NAME_ADDRESS,https://www.pappers.fr/entreprise/lmg-finance-438983645
2,13742,AMBIGUOUS,,HIGH,77568013500214,0.97641444,REVIEW,False,False,MULTIPLE_PROMOTRANS_ENTITIES,https://www.pappers.fr/entreprise/promotrans-fpc-promotrans-formation-professionnelle-continue-808634141
3,11921,MATCH_EXACT,41137153700019,HIGH,41137153700019,0.99937147,AUTO_MATCH,True,False,EXACT_NAME_SITE,https://annuaire-entreprises.data.gouv.fr/entreprise/411371537
4,14804,MATCH_EXACT,82248646000030,HIGH,82248646000030,0.9989065,AUTO_MATCH,True,False,CURRENT_ACTIVE_SUCCESSOR_SITE,https://annuaire-entreprises.data.gouv.fr/entreprise/822486460
5,fresh:FR021511,MATCH_EXACT,32051754300023,HIGH,32051754300023,0.99824727,AUTO_MATCH,True,False,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/entreprise/320517543
6,16455,MATCH_EXACT,44191653300041,HIGH,44191653300041,0.9531162,REVIEW,True,False,LEGAL_ENTITY_AMONG_COLOCATED_GROUP,https://www.pappers.fr/entreprise/sopribat-441916533
7,14805,MATCH_EXACT,42038702900010,HIGH,42038702900010,0.9984774,AUTO_MATCH,True,False,ACTIVE_REGISTER_LIQUIDATION,https://www.pappers.fr/entreprise/collard-trolart-thermique-420387029
8,14693,MATCH_EXACT,48889128400033,HIGH,48889128400033,0.9990258,AUTO_MATCH,True,False,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/etablissement/48889128400033
9,fresh:FR029212,MATCH_EXACT,34328238000306,HIGH,92050169900010,0.508917,REVIEW,False,False,BRAND_TO_OPERATOR_SITE,https://www.fnac.com/Fnac-Carre-Senart/srefDD3CAD55-1B86-57F0-52EE-BDA9C4AA1402
10,fresh:FO007470,MATCH_EXACT,31061238700103,HIGH,30889577005432,0.17991294,REVIEW,False,False,CURRENT_ACTIVE_NON_HEADQUARTERS,https://annuaire-entreprises.data.gouv.fr/entreprise/310612387
