selection_ordinal,query_id,crm_name,crm_address,crm_postcode,crm_city
1,11323,R2D AUTOMATION,8 Rue Georges Besse,34830,Clapiers
2,fresh:FR025705,ANACOURS,13 Rue Madame de Sanzillon,92110,CLICHY
3,10940,FDI DEVELOPPEMENT,RUE GEORGES MELIES,34000,MONTPELLIER
4,fresh:AC016354,ANAHOME IMMOBILIER LYON,30 Rue Joannès Carret,69009,LYON
5,16093, MANKIEWICZ FRANCE,5 Rue Nicolas Copernic,78280,GUYANCOURT
6,11618,CONFRERIE DES DOMAINES,8 Avenue de l’Europe,34830,Clapiers
7,12700,FRUIDOR,38 Rue du Séminaire,94550,CHEVILLY LARUE
8,14461,JALNA Holding,"4, Rue du Château d?Eau",77550,LIMOGES FOURCHES
9,14965,Polimiroir,2 RUE DE L'EPINETTE,77165,ST SOUPPLETS
10,fresh:FR040180,HCS GROUPE,12 RUE ELISA DEROCHE,51450,BETHENY
11,17037,GODEFROID PUBLICITE,76 Rue Jean Jaurès,59410,ANZIN
12,10710,Observatoire Régional de la Santé,203 route de GENCAY,86280,Saint-Benoît
13,fresh:FR029938,FINANCIERE BURDIGALA,32 avenue RENE ANTOUNE,33320,EYSINES
14,10928,Logitrade,52 Rue Georges Guynemer,34170,CASTELNAU LE LEZ
15,15827,LABORATOIRES INNOTHERA,22 AVENUE ARISTIDE BRIAND,94110,ARCUEIL
16,fresh:FR033419,ALIANTIS,33 Rue Pré Gaudry,69007,LYON
17,11199,GOLFY CLUB RESEAU,6100 Domaine de Massane,34670,BAILLARGUES
18,14012,Royal Canin,650 AVENUE DE LA  PETITE CAMARGUE,30470,AIMARGUES
19,fresh:FR036536,IPESUP,101 Boulevard Raspail,75006,PARIS 6EME ARRONDISSEMENT
20,9449,ADEL,29 Boulevard Charles de Gaulle,69150,DECINES CHARPIEU
21,15196,Adapei 77 - Les Ormes (Rubelles),12 Rue du Perre,77950,RUBELLES
22,fresh:FR037897,Innergex,190 Avenue Thiers,69006,LYON
23,fresh:FR034658,Alfa Laval SAS SAINT PRIEST,117 Allée des Parcs,69800,ST PRIEST
24,13759,NRGYS,5 avenue des Améthystes,44300,NANTES
25,fresh:AC019651,APROJOB - Roanne,76 Quai Commandant Lherminier,42300,ROANNE
26,fresh:FR033088,DECO INVESTISSEMENTS,160 Rue Georges de Mestral,74160,ARCHAMPS
27,13579,RENO OUEST,28bis Route de Paris,44470,CARQUEFOU
28,12298,DAMARTEX GROUP,25 Avenue de la Fosse aux Chenes,59100,ROUBAIX
29,fresh:FR033911,HOLDING LG AUTO CARCASSONNE,580 Avenue GUSTAVE EIFFEL,11000,CARCASSONNE
30,13754,EDEIS,18 rue de la Petite Sensive,44300,NANTES
