selection_ordinal,query_id,label_kind,ground_truth_siret,reliability,evidence_url,error_family
1,11323,MATCH_EXACT,35342315500038,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/353423155,EXACT_NAME_ADDRESS
2,fresh:FR025705,MATCH_EXACT,44146037500229,HIGH,https://www.anacours.com/mentions-legales/,LEGAL_ENTITY_AMONG_COLOCATED_GROUP
3,10940,MATCH_EXACT,43374948800022,HIGH,https://www.pappers.fr/entreprise/fdi-developpement-433749488,MISSING_STREET_NUMBER
4,fresh:AC016354,MATCH_EXACT,52131127400042,HIGH,https://www.anahomeimmobilier.com/mentions-legales-2/,LEGAL_ENTITY_AMONG_COLOCATED_GROUP
5,16093,MATCH_EXACT,48529057100044,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/48529057100044,EXACT_NAME_ADDRESS
6,11618,MATCH_EXACT,51080270500036,HIGH,https://www.confrerie-domaines.com/fr/contactez-nous,ADDRESS_COMPLEMENT_VARIATION
7,12700,MATCH_EXACT,56208974800528,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/56208974800528,EXACT_NAME_ADDRESS
8,14461,MATCH_EXACT,79110129800010,HIGH,https://www.eterritoire.fr/territoires/ile-de-france/seine-et-marne/limoges-fourches/77252/31790?annuaire=&p=2,EXACT_NAME_ADDRESS
9,14965,MATCH_EXACT,74705004500026,HIGH,https://www.pappers.fr/entreprise/polimiroir-747050045,EXACT_NAME_ADDRESS
10,fresh:FR040180,AMBIGUOUS,,HIGH,https://www.hcsgroupe.fr/contact,GROUP_BANNER_MULTIPLE_LEGAL_ENTITIES
11,17037,MATCH_EXACT,44489928000028,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/godefroid-publicite-444899280,EXACT_NAME_ADDRESS
12,10710,MATCH_EXACT,82418653000021,HIGH,https://www.fnors.org/coordonnees-des-ors/,PUBLIC_ALIAS_EXACT_SITE
13,fresh:FR029938,MATCH_EXACT,75149265300025,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/financiere-burdigala-751492653,EXACT_NAME_ADDRESS
14,10928,MATCH_EXACT,39331355600036,HIGH,https://www.logitrade.fr/wp-content/uploads/CGV-Logitrade.pdf,OFFICIAL_TERMS_SIRET
15,15827,MATCH_EXACT,38842259400043,HIGH,https://www.pappers.fr/entreprise/laboratoires-innothera-388422594,LEGAL_ENTITY_AMONG_COLOCATED_GROUP
16,fresh:FR033419,MATCH_EXACT,97150758700055,HIGH,https://www.aliantis.net/notre-histoire/lyon/,PUBLIC_ALIAS_EXACT_SITE
17,11199,MATCH_EXACT,41500815000013,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/415008150,LEGAL_SUFFIX_OMITTED
18,14012,MATCH_EXACT,70020098300018,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/70020098300018,LEGAL_ENTITY_AMONG_COLOCATED_GROUP
19,fresh:FR036536,MATCH_EXACT,32255780200053,HIGH,https://www.pappers.fr/entreprise/ipesup-322557802,LEGAL_ENTITY_AMONG_COLOCATED_GROUP
20,9449,MATCH_EXACT,95650716400021,HIGH,https://www.adel-industries.com/mentions-legales/,OFFICIAL_TERMS_SIRET
21,15196,MATCH_EXACT,78497191300339,HIGH,https://www.adapei77.org/etablissements/les-ormes/5/,PUBLIC_ALIAS_EXACT_SITE
22,fresh:FR037897,AMBIGUOUS,,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/innergex-france-818579559,GROUP_BANNER_MULTIPLE_LEGAL_ENTITIES
23,fresh:FR034658,MATCH_EXACT,78826245900175,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/78826245900175,EXACT_NAME_ADDRESS
24,13759,MATCH_EXACT,48748157400043,HIGH,https://annuaire-entreprises.data.gouv.fr/etablissement/48748157400043,LEGAL_ENTITY_AMONG_COLOCATED_GROUP
25,fresh:AC019651,MATCH_EXACT,48485124100071,HIGH,https://www.aprojob.com/agence-interim-roanne/aprojob-roanne,PUBLIC_ALIAS_EXACT_SITE
26,fresh:FR033088,AMBIGUOUS,,HIGH,https://www.pappers.fr/entreprise/deco-investissements-380768267,STALE_HOLDING_ADDRESS_MULTIPLE_SUBSIDIARIES
27,13579,MATCH_EXACT,53981554800034,HIGH,https://annuaire-entreprises.data.gouv.fr/entreprise/539815548,ADDRESS_SUFFIX_VARIATION
28,12298,MATCH_EXACT,44137831200025,MEDIUM,https://annuaire-entreprises.data.gouv.fr/etablissement/44137831200025,STALE_ADDRESS_CURRENT_ACTIVE_HEADQUARTERS
29,fresh:FR033911,AMBIGUOUS,,HIGH,https://lggroupe.com/lg-contact/prestige-automobile-carcassonne/,GROUP_CITY_LABEL_MULTIPLE_LEGAL_ENTITIES
30,13754,MATCH_EXACT,44464953700131,MEDIUM,https://annuaire-entreprises.data.gouv.fr/etablissement/44464953700131,GENERIC_GROUP_NAME_BEST_LEGAL_ENTITY
