selection_ordinal,query_id,label_kind,ground_truth_siret,reliability,predicted_siret,acceptor_score,decision,prediction_correct,auto_error,error_family,evidence_url
1,11323,MATCH_EXACT,35342315500038,HIGH,35342315500038,0.36582765,REVIEW,True,False,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/entreprise/353423155
2,fresh:FR025705,MATCH_EXACT,44146037500229,HIGH,51164444500039,0.074605376,REVIEW,False,False,LEGAL_ENTITY_AMONG_COLOCATED_GROUP,https://www.anacours.com/mentions-legales/
3,10940,MATCH_EXACT,43374948800022,HIGH,43374948800022,0.3375242,REVIEW,True,False,MISSING_STREET_NUMBER,https://www.pappers.fr/entreprise/fdi-developpement-433749488
4,fresh:AC016354,MATCH_EXACT,52131127400042,HIGH,52131127400042,0.20482966,REVIEW,True,False,LEGAL_ENTITY_AMONG_COLOCATED_GROUP,https://www.anahomeimmobilier.com/mentions-legales-2/
5,16093,MATCH_EXACT,48529057100044,HIGH,48529057100044,0.3784729,REVIEW,True,False,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/etablissement/48529057100044
6,11618,MATCH_EXACT,51080270500036,HIGH,51080270500036,0.56493145,REVIEW,True,False,ADDRESS_COMPLEMENT_VARIATION,https://www.confrerie-domaines.com/fr/contactez-nous
7,12700,MATCH_EXACT,56208974800528,HIGH,56208974800528,0.49460998,REVIEW,True,False,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/etablissement/56208974800528
8,14461,MATCH_EXACT,79110129800010,HIGH,79110129800010,0.6970644,REVIEW,True,False,EXACT_NAME_ADDRESS,https://www.eterritoire.fr/territoires/ile-de-france/seine-et-marne/limoges-fourches/77252/31790?annuaire=&p=2
9,14965,MATCH_EXACT,74705004500026,HIGH,74705004500026,0.8328293,REVIEW,True,False,EXACT_NAME_ADDRESS,https://www.pappers.fr/entreprise/polimiroir-747050045
10,fresh:FR040180,AMBIGUOUS,,HIGH,50421774600065,0.27592513,REVIEW,False,False,GROUP_BANNER_MULTIPLE_LEGAL_ENTITIES,https://www.hcsgroupe.fr/contact
11,17037,MATCH_EXACT,44489928000028,HIGH,44489928000028,0.5421122,REVIEW,True,False,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/entreprise/godefroid-publicite-444899280
12,10710,MATCH_EXACT,82418653000021,HIGH,82418653000021,0.4782042,REVIEW,True,False,PUBLIC_ALIAS_EXACT_SITE,https://www.fnors.org/coordonnees-des-ors/
13,fresh:FR029938,MATCH_EXACT,75149265300025,HIGH,75149265300025,0.5552989,REVIEW,True,False,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/entreprise/financiere-burdigala-751492653
