query_id,label_kind,ground_truth_siret,ground_truth_siren,reliability,previous_label_kind,previous_ground_truth_siret,input_siret,pipeline_predicted_siret,truth_equals_input_siret,ranker_top1_correct,label_changed,error_family,evidence_reference,source_audit
344,MATCH_EXACT,19771515400021,197715154,HIGH,MATCH_EXACT,19771515400021,19771515400021,19771515400021,True,True,False,FALSE_REVIEW_ACCEPTOR,reports/v412_remaining_review_audit_first5.md,reports/v412_remaining_review_audit_first5.csv
410,MATCH_EXACT,19772128500017,197721285,HIGH,AMBIGUOUS,,19772128500017,19772128500017,True,True,True,FALSE_AMBIGUOUS_LABEL_AND_FALSE_REVIEW,reports/v412_remaining_review_audit_first5.md,reports/v412_remaining_review_audit_first5.csv
896,MATCH_EXACT,18770918300169,187709183,HIGH,AMBIGUOUS,,18770918300169,18770918300169,True,True,True,FALSE_AMBIGUOUS_LABEL_AND_FALSE_REVIEW,reports/v412_remaining_review_audit_first5.md,reports/v412_remaining_review_audit_first5.csv
1073,MATCH_EXACT,49927250800015,499272508,HIGH,AMBIGUOUS,,49927250800015,49927250800015,True,True,True,FALSE_AMBIGUOUS_LABEL_AND_FALSE_REVIEW,reports/v412_remaining_review_audit_first5.md,reports/v412_remaining_review_audit_first5.csv
1140,AMBIGUOUS,,,HIGH,MATCH_EXACT,97770403000047,45401970400021,97770403000047,False,False,True,STALE_NAME_AFTER_OPERATOR_TRANSFER,reports/v412_remaining_review_audit_first5.md,reports/v412_remaining_review_audit_first5.csv
1264,MATCH_EXACT,60201069600147,602010696,HIGH,AMBIGUOUS,,60201069600147,60201069600147,True,True,True,FALSE_AMBIGUOUS_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/60201069600147,reports/v412_remaining_review_audit_next25.csv
1401,MATCH_EXACT,26140092300320,261400923,HIGH,MATCH_EXACT,26140097200236,26140120200013,26140097200236,False,False,True,STALE_WRONG_GROUND_TRUTH,https://annuaire-entreprises.data.gouv.fr/etablissement/26140092300320,reports/v412_remaining_review_audit_next25.csv
1739,MATCH_EXACT,49011913800025,490119138,HIGH,AMBIGUOUS,,49011913800025,49011913800025,True,True,True,FALSE_AMBIGUOUS_LABEL,https://jmprestations.com/mentions-legales/,reports/v412_remaining_review_audit_next25.csv
1772,MATCH_EXACT,80499169300016,804991693,HIGH,AMBIGUOUS,,80499169300016,80499169300016,True,True,True,COLOCATED_RELATED_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/80499169300016,reports/v412_remaining_review_audit_next25.csv
2036,MATCH_EXACT,40089260000026,400892600,HIGH,AMBIGUOUS,,40089260000026,40089260000026,True,True,True,COLOCATED_RELATED_ENTITY,https://www.societe.com/societe/geemarc-telecom-sa-400892600.html,reports/v412_remaining_review_audit_next25.csv
2413,MATCH_EXACT,66204244922034,662042449,HIGH,AMBIGUOUS,,66204244922034,66204244922034,True,True,True,FALSE_AMBIGUOUS_LABEL,https://nos-agences.mabanque.bnpparibas/grand-est/meurthe-et-moselle/jarville-la-malgrange/bnp-paribas-espace-er-alsace-lorraine-3001,reports/v412_remaining_review_audit_next25.csv
2423,MATCH_EXACT,52503152200143,525031522,HIGH,AMBIGUOUS,,52503152200143,52503152200143,True,True,True,STALE_PREDECESSOR,https://www.pappers.fr/entreprise/fidal-525031522,reports/v412_remaining_review_audit_next25.csv
2483,MATCH_EXACT,50760857800021,507608578,HIGH,AMBIGUOUS,,50760857800021,50760857800021,True,True,True,FALSE_AMBIGUOUS_LABEL,https://www.societe.com/societe/vandis-507608578.html,reports/v412_remaining_review_audit_next25.csv
2499,AMBIGUOUS,,,MEDIUM,AMBIGUOUS,,30148446500069,30148446500069,False,False,False,MULTIPLE_CONSTRUCTYS_WITHOUT_REFERENCE_DATE,https://annuaire-entreprises.data.gouv.fr/entreprise/301484465,reports/v412_remaining_review_audit_next25.csv
2525,MATCH_EXACT,41871093500036,418710935,HIGH,AMBIGUOUS,,41871093500036,41871093500036,True,True,True,FALSE_AMBIGUOUS_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/41871093500036,reports/v412_remaining_review_audit_next25.csv
2682,MATCH_EXACT,44275189700061,442751897,HIGH,AMBIGUOUS,,44275189700061,44275189700061,True,True,True,COLOCATED_FINANCIAL_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/44275189700061,reports/v412_remaining_review_audit_next25.csv
2999,MATCH_EXACT,78886354600016,788863546,HIGH,AMBIGUOUS,,78886354600016,78886354600016,True,True,True,NEAR_HOMONYM,https://annuaire-entreprises.data.gouv.fr/entreprise/agence-olivier-agence-olivier-788863546,reports/v412_remaining_review_audit_next25.csv
3201,MATCH_EXACT,26740006700018,267400067,HIGH,AMBIGUOUS,,26740006700018,26740006700018,True,True,True,COLOCATED_ACCOUNTING_ESTABLISHMENT,https://annuaire-entreprises.data.gouv.fr/etablissement/26740006700018,reports/v412_remaining_review_audit_next25.csv
3381,MATCH_EXACT,30023144600018,300231446,HIGH,AMBIGUOUS,,30023144600018,30023144600018,True,True,True,COLOCATED_UNRELATED_ENTITIES,https://annuaire-entreprises.data.gouv.fr/etablissement/30023144600018,reports/v412_remaining_review_audit_next25.csv
3481,MATCH_EXACT,44275189700087,442751897,HIGH,AMBIGUOUS,,44275189700087,44275189700087,True,True,True,COLOCATED_FINANCIAL_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/44275189700087,reports/v412_remaining_review_audit_next25.csv
3673,MATCH_EXACT,42007266200018,420072662,HIGH,AMBIGUOUS,,42007266200018,42007266200018,True,True,True,FALSE_AMBIGUOUS_LABEL,https://annuaire-entreprises.data.gouv.fr/etablissement/42007266200018,reports/v412_remaining_review_audit_next25.csv
4598,MATCH_EXACT,32506104200025,325061042,HIGH,AMBIGUOUS,,32506104200025,32506104200025,True,True,True,COLOCATED_SISTER_COMPANIES,https://satcoms.fr/mentions-legales/,reports/v412_remaining_review_audit_next25.csv
4655,MATCH_EXACT,77572257200051,775722572,HIGH,AMBIGUOUS,,34270750200130,34270750200130,False,False,True,ASSOCIATION_VS_SAS_COLOCATED,https://arras.cesi.fr/wp-content/uploads/sites/7/2025/05/CESI_Collecte_TA_avril2025_arras_ppp.pdf,reports/v412_remaining_review_audit_next25.csv
4692,MATCH_EXACT,13002442500600,130024425,HIGH,AMBIGUOUS,,13002442500600,13002442500600,True,True,True,STALE_CROUS_LEGAL_ENTITY,https://annuaire-entreprises.data.gouv.fr/etablissement/13002442500600,reports/v412_remaining_review_audit_next25.csv
4720,MATCH_EXACT,39000406700034,390004067,HIGH,AMBIGUOUS,,39000406700034,39000406700034,True,True,True,FALSE_AMBIGUOUS_LABEL,https://www.mbcdistribution.fr/presentation,reports/v412_remaining_review_audit_next25.csv
4759,MATCH_EXACT,52503152200713,525031522,HIGH,AMBIGUOUS,,52503152200713,52503152200713,True,True,True,ADDRESS_SUFFIX_VARIATION,https://www.fidal.com/nos-implantations/normandie/caen,reports/v412_remaining_review_audit_next25.csv
