selection_ordinal,query_id,predicted_siret_baseline,top1_correct_baseline,predicted_siret,top1_correct_candidate,truth_in_pool,ground_truth_siret,error_family,cohort,crm_name,crm_address,crm_postcode,crm_city,ground_truth_siren,predicted_siren,error_level,predicted_candidate_siret,truth_candidate_siret,predicted_denomination_unite_legale,truth_denomination_unite_legale,predicted_sirene_enseigne1,truth_sirene_enseigne1,predicted_sirene_denomination_usuelle,truth_sirene_denomination_usuelle,predicted_address_full,truth_address_full,predicted_postcode,truth_postcode,predicted_city,truth_city,predicted_etablissement_siege,truth_etablissement_siege,predicted_etat_administratif,truth_etat_administratif,predicted_activite_principale,truth_activite_principale,predicted_date_creation,truth_date_creation,predicted_date_debut,truth_date_debut,predicted_retrieval_rank,truth_retrieval_rank,predicted_name_jaro_max,truth_name_jaro_max,predicted_name_token_overlap_max,truth_name_token_overlap_max,predicted_idf_name,truth_idf_name,predicted_name_sim_max_etab,truth_name_sim_max_etab,predicted_name_sim_max_ul,truth_name_sim_max_ul,predicted_name_sim_max_sigle,truth_name_sim_max_sigle,predicted_addr_jaro,truth_addr_jaro,predicted_postcode_match,truth_postcode_match,predicted_city_match,truth_city_match,predicted_street_number_diff,truth_street_number_diff,predicted_addr_token_overlap,truth_addr_token_overlap,predicted_street_name_jaro,truth_street_name_jaro,predicted_name_addr_consistency,truth_name_addr_consistency,predicted_is_siege,truth_is_siege,predicted_is_association,truth_is_association,predicted_geo_exact_match,truth_geo_exact_match,predicted_name_norm_exact,truth_name_norm_exact,predicted_street_number_match,truth_street_number_match
1,9675,50530398200027,False,50530398200027,False,True,38888534500032,ADJUDICATED_REVIEW,R30,INLOG,53 RUE DE L?ETANG,69760,LIMONEST,388885345,505303982,WRONG_SIREN,50530398200027,38888534500032,INLOG HOLDINGS FRANCE SAS,IN LOG,,,,,53 RUE DE L'ETANG,53 RUE DE L'ETANG,69760,69760,LIMONEST,LIMONEST,True,True,A,A,64.20Z,62.02A,2015-07-01,1998-12-14,2015-07-01,2014-12-02,2,1,0.8476190567016602,0.9555555582046509,0.3333333432674408,0.0,8.092158317565918,0.0,0.5809524059295654,0.5809524059295654,0.8476190567016602,0.9555555582046509,0.0,0.0,0.9764705896377563,0.9764705896377563,1.0,1.0,1.0,1.0,0.0,0.0,0.6000000238418579,0.6000000238418579,0.9714285731315613,0.9714285731315613,0.8276751041412354,0.9330719113349915,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
2,4655,34270750200130,False,34270750200130,False,True,77572257200051,ASSOCIATION_VS_SAS_COLOCATED,OVERLAY60,CESI ASSOCIATION,7 Rue Diderot,62000,ARRAS,775722572,342707502,WRONG_SIREN,34270750200130,77572257200051,CESI SAS,CESI,,CESI,,,7 RUE DIDEROT,7 RUE DIDEROT,62000,62000,ARRAS,ARRAS,False,False,A,A,85.59A,85.42Z,2002-01-01,1900-01-01,2008-01-01,2022-10-19,1,2,0.8500000238418579,0.8500000238418579,0.5,0.5,8.610754013061523,8.610754013061523,0.5972222089767456,0.8500000238418579,0.8500000238418579,0.8500000238418579,0.0,0.8500000238418579,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8500000238418579,0.8500000238418579,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
3,10614,41107057600037,True,83230830800010,False,True,41107057600037,BRAND_LEGALNAME_COLOCATED_HOLDING,BLIND_B2,POITOO ADHESIFS,126 Rue de la Bugellerie,86000,POITIERS,411070576,832308308,WRONG_SIREN,83230830800010,41107057600037,POITOO,SAS POITOU-ADHESIFS,,,,,126 RUE DE LA BUGELLERIE,126 RUE DE LA BUGELLERIE,86000,86000,POITIERS,POITIERS,True,True,A,A,64.20Z,46.49Z,2017-09-13,2004-11-26,2017-09-13,2024-12-18,2,1,0.8799999952316284,0.9733333587646484,0.5,0.5,10.238927841186523,10.238927841186523,0.4555555582046509,0.8799999952316284,0.8799999952316284,0.9733333587646484,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8799999952316284,0.9733333587646484,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
4,fresh:FR029212,92050169900010,False,92050169900010,False,True,34328238000306,BRAND_TO_OPERATOR_SITE,BLIND_B1,FNAC Carre Sénart,3 Allée du Préambule,77127,LIEUSAINT,343282380,920501699,WRONG_SIREN,92050169900010,34328238000306,LTDN CARRE SENART,CODIREP SNC,,,LTDN CARRE SENART,,3 ALLEE DU PREAMBULE,3 ALLEE DU PREAMBULE,77127,77127,LIEUSAINT,LIEUSAINT,True,False,A,A,93.29Z,47.54Z,2022-10-04,2022-03-31,2023-04-17,2022-03-31,47,1,0.8585433959960938,0.8541176319122314,0.5,0.25,5.263673782348633,9.074026107788086,0.8585433959960938,0.8541176319122314,0.8585433959960938,0.5350140333175659,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8585433959960938,0.8541176319122314,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
5,1495,53465464500025,False,53465464500025,False,True,90370122500018,COLOCATED_EXACT_LEGAL_NAME,R7,PHB CREATION,59 Avenue du Président René Coty,14390,VARAVILLE,903701225,534654645,WRONG_SIREN,53465464500025,90370122500018,PHB,PHB CREATION MAINTENANCE,EURL PHB,,EURL PHB,GREENHO,59 AVENUE DU PRESIDENT RENE COTY,59 AVENUE DU PRESIDENT RENE COTY,14390,14390,VARAVILLE,VARAVILLE,True,True,A,A,71.11Z,81.30Z,2020-09-15,2021-10-01,2020-09-15,2025-02-19,1,2,0.824999988079071,0.8999999761581421,0.5,0.6666666865348816,6.1704840660095215,6.517057418823242,0.824999988079071,0.5515872836112976,0.824999988079071,0.8999999761581421,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.824999988079071,0.8999999761581421,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
6,6974,35110234800015,False,35110234800015,False,True,55210360800014,COLOCATED_PROPERTY_ENTITY,R53,HOTEL DE BUCI,22 RUE DE BUCI,75006,PARIS 6EME ARRONDISSEMENT,552103608,351102348,WRONG_SIREN,35110234800015,55210360800014,SCI LEONIE JENNYFER,SOC HOTEL DE BUCI,,,,,22 RUE DE BUCI,22 RUE DE BUCI,75006,75006,PARIS,PARIS,True,True,A,A,68.20B,55.10Z,1989-05-30,1955-01-01,2008-01-01,2008-01-01,1,2,1.0,0.8376290202140808,1.0,0.6666666865348816,7.484611988067627,0.0,1.0,0.8376290202140808,0.4393162429332733,0.8190045356750488,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8376290202140808,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
7,5745,53755402400019,False,53755402400019,False,True,87020005200047,COLOCATED_UNRELATED_ENTITY,R53,CESIS,126 RUE ARMAND FALLIERES,63000,CLERMONT FERRAND,870200052,537554024,WRONG_SIREN,53755402400019,87020005200047,SCM RIVALY,CESIS - CABINET D'AVOCATS,,,,,126 RUE ARMAND FALLIERES,126 RUE ARMAND FALLIERES,63100,63100,CLERMONT-FERRAND,CLERMONT-FERRAND,True,True,A,A,66.19A,69.10Z,2011-10-20,2011-11-02,2011-10-20,2011-11-02,1,2,0.843478262424469,0.843478262424469,0.3333333432674408,0.3333333432674408,11.524977684020996,11.524977684020996,0.843478262424469,0.5833333134651184,0.5222222208976746,0.843478262424469,0.0,0.561904788017273,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.843478262424469,0.843478262424469,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
8,16023,91313147000019,False,91313147000019,False,True,48492277800010,COLOCATION_RESOLVED_BY_NAME,BLIND_FINAL39,Vente unique,9 RUE JACQUART,93310,Le Pré-Saint-Gervais,484922778,913131470,WRONG_SIREN,91313147000019,48492277800010,VENTE-UNIQUE DELIVERY,VENTE-UNIQUE.COM,,,VENTE-UNIQUE DELIVERY,,9 RUE JACQUART,9 RUE JACQUART,93310,93310,LE PRE-SAINT-GERVAIS,LE PRE-SAINT-GERVAIS,True,True,A,A,49.41A,47.91A,2022-04-01,2005-10-10,2025-09-15,2019-12-31,2,1,0.949999988079071,0.949999988079071,0.6666666865348816,0.3333333432674408,8.071785926818848,8.071785926818848,0.949999988079071,0.586219310760498,0.9142857193946838,0.949999988079071,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.949999988079071,0.949999988079071,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
9,11778,48887534500024,True,45322346300028,False,True,48887534500024,EXACT_NAME_ADDRESS,BLIND_B2,ALCEANE,444 Avenue du Bois au Coq,76600,LE HAVRE,488875345,453223463,WRONG_SIREN,45322346300028,48887534500024,ASSOCIATION SPORTIVE ALCEANE DE L'OFFICE PUBLIC DE L'HABITAT DE LA COMMUNAUTE URBAINE LE HAVRE SEINE METROPOLE,ALCEANE - OPH DE LA COMMUNAUTE URBAINE LE HAVRE SEINE METROPOLE,,,,,444 AVENUE DU BOIS AU COQ,444 AVENUE DU BOIS AU COQ,76600,76600,LE HAVRE,LE HAVRE,True,True,A,A,93.12Z,68.20A,2016-01-15,2015-06-04,2016-01-15,2015-12-07,1,2,0.7642857432365417,0.8229508399963379,0.3333333432674408,0.5,10.190035820007324,10.190035820007324,0.0,0.0,0.7642857432365417,0.8229508399963379,0.7642857432365417,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7642857432365417,0.8229508399963379,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
10,9174,38805696200037,False,38805696200037,False,True,42127782300066,FORMER_MANUFACTURING_ENTITY_VS_CURRENT_SERVICES_HQ,R53,NEMERA LYON,63 Avenue Tony Garnier,69007,LYON 7EME ARRONDISSEMENT,421277823,388056962,WRONG_SIREN,38805696200037,42127782300066,NEMERA LA VERPILLIERE,NEMERA SERVICES,,,,,63 AVENUE TONY GARNIER,63 AVENUE TONY GARNIER,69007,69007,LYON,LYON,False,True,A,A,22.29A,70.22Z,2022-06-15,2022-09-01,2022-09-05,2022-09-01,1,2,0.8571428656578064,0.8799999952316284,0.5,0.5,10.207770347595215,10.207770347595215,0.5277777910232544,0.4722222089767456,0.8571428656578064,0.8799999952316284,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.8571428656578064,0.8799999952316284,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
