selection_ordinal,query_id,crm_name,crm_address,crm_postcode,crm_city
1,5175,GRAFTECH FRANCE SNC,9015 Rue des Garennes,62100,CALAIS
2,5215,FP HOLDING POLLEY GROUP,356 AV DE LA LIBERTE,62730,MARCK
3,5298,EKOSCAN SARL,3 Rue Désiré Gillot,71100,SAINT REMY
4,5363,SMET 71,1 Chemin de Lessard le National,71150,Chagny
5,5620,LABORATOIRES THEA CLERMONT FERRAND,12 RUE LOUIS BLERIOT,63000,CLERMONT FERRAND
6,5662,HAIR DESIGN GROUP,10 RUE DU PETIT CLOS,63000,CLERMONT FERRAND
7,5768,ARACHNEE CONCERTS,46 Rue de Sarliève,63800,COURNON D AUVERGNE
8,5796,SEC SAUVESTRE TANGUY & ASSOCIES,20 Rue Enrico Fermi,63540,ROMAGNAT
9,6246,delta immo,1 Rue Dulong,27000,Évreux
10,6324,40-30,29 Boulevard de l’Europe,38170,Seyssinet-Pariset
11,6436,FTRECAL,718 Rue de la Division Leclerc,88140,Bulgnéville
12,6841,HOTEL NATIONAL DES ARTS ET METIERS,243 Rue Saint-Martin,75003,PARIS
13,6886,ECOLE NATIONALE SUPERIEURE DES BEAUX ARTS,14 Rue Bonaparte,75006,PARIS
14,7188,SWISSTERMINAL,RUE RAYMOND LOEWERT,68490,OTTMARSHEIM
15,7233,HOPITAL INTERCOMMUNAL ENSISHEIM,7 Rue Colbert,68190,Ensisheim
16,7373,UIMM,6 Rue Ettore Bugatti,67201,Eckbolsheim
17,7531,TFCM,6 le Bois de la Rochelle,85420,DAMVIX
18,7564,SAS Maugin,2 rue de la Marne,85230,ST GERVAIS
19,7747,FIBA SAINT-LOUIS,9 Croisee des Lys,68300,Saint-Louis
20,7749,ACTERIM DOUAI,4 RUE BECQUEREL,59500,DOUAI
21,7961,NEXTROAD ENGINEERING,4 Rue Robert Schuman,21800,Chevigny-Saint-Sauveur
22,8354,LABORATOIRE B.S.L.,800 Route de l'énergie,73540,La Bâthie
23,8540,ASFO GRAND SUD,14 Avenue de l'Europe,31520,Ramonville-Saint-Agne
24,8617,AFPA MONTCEAU,1 Rue du Petit Bois,71300,MONTCEAU LES MINES
25,8644,CAPRON PODOLOGIE,Avenue de l'europe,71210,Ecuisses
26,8675,BETON CONCEPT,3 CHEMIN DES EPINLIERS,71710,MONTCENIS
27,8709,VAISON PISTE,Route Centre à Centre,71210,TORCY
28,8783,SENDIN,9 RUE DES MARAICHERS,91160,CHAMPLAN
29,9005,Arthaud & Associés,73 Rue François Mermet,69160,TASSIN LA DEMI LUNE
30,9053,Foussier Quincaillerie,86 avenue Franklin Roosevelt,69120,VAULX EN VELIN
