selection_ordinal,query_id,crm_name,crm_address,crm_postcode,crm_city
1,1264,INTEVA PRODUCTS FRANCE SAS,ZAC LA COUTURE,14220,ESSON
2,1401,CENTRE HOSPITALIER D'AUNAY SUR ODON,5 Rue de l'Hopital,14260,AUNAY SUR ODON
3,1739,JM PRESTATIONS,La Papillonnière,14500,VIRE
4,1772,GRANDEUR NATURE SERVICES,47 Rue Jules Grün,14130,Le Breuil-en-Auge
5,2036,GEEMARC TELECOM SA,2 Rue Galilée,59760,GRANDE-SYNTHE
6,2413,BNP PARIBAS JARVILLE,10 avenue du General de Gaulle,54140,JARVILLE LA MALGRANGE
7,2423,FIDAL NANCY,10 Rte de l’Aviation,54600,Villers-lès-Nancy
8,2483,VANDIS VANDOEUVRE LES NANCY,2 Rue Bernard Palissy,54500,VANDOEUVRE LES NANCY
9,2499,CONSTRUCTYS,60 Rue de Metz,54000,NANCY
10,2525,ALLIANCES INFORMATIQUE GESTION,22 Allée de la Forêt de la Reine,54500,Vandœuvre-lès-Nancy
11,2682,IMARA Saint Julien en Genevois,"28, Avenue de Genève",74160,SAINT JULIEN EN GENEVOIS
12,2999,AGENCE OLIVIER,27 Place de l'office du tourisme,74110,MORZINE
13,3201,EHPAD LES COULEURS DU LAC FAVERGES,99 Rue de la république,74210,FAVERGES
14,3381,CAMPUS DE GROISY,126 Che des Metiers,74570,GROISY
15,3481,IMARA 74,Voie Des Docteurs Mouthon,74210,FAVERGES
16,3673,RITSCHARD,638 Route de Bidaille,74930,SCIENTRIER
17,4598,SATCOMS,"18, Chemin de croisette",62118,ROEUX
18,4655,CESI ASSOCIATION,7 Rue Diderot,62000,ARRAS
19,4692,CROUS HSC,Avenue de la Grande Cavée,14200,HEROUVILLE SAINT CLAIR
20,4720,MBC DISTRIBUTION,10 Rue Jacques Daguerre,14120,MONDEVILLE
21,4759,FIDAL CAEN,1 ter Rue Claude Bloch,14000,CAEN
22,4769,IBC DIALOG,4 RUE DE BRUXELLES,14120,MONDEVILLE
23,5020,INSTITUT LEMONNIER,60 Rue d'Herouville,14000,CAEN
24,5052,Promotrans,rue Nicephore Niepce,14120,MONDEVILLE
25,5139,Croix Rouge Francaise,57 Rue Verte,62100,CALAIS
