selection_ordinal,query_id,label,validated_siret,reliability,ranking_label_usable,baseline_predicted_siret
1,fresh:FR028730,MATCH_EXACT,33977442400594,HIGH,true,33977442400669
2,15204,MATCH_EXACT,20003309000016,HIGH,true,20003309000081
3,fresh:FR027738,AMBIGUOUS,,HIGH,false,13000723001017
4,3699,MATCH_EXACT,40006189100042,HIGH,true,40006189100091
5,8816,MATCH_EXACT,26910214100018,HIGH,true,26910214100075
6,8432,MATCH_EXACT,28310002200021,HIGH,true,28310002200039
7,11255,AMBIGUOUS,,HIGH,false,33977442400644
8,5691,MATCH_EXACT,77918786300013,HIGH,true,77918786300039
9,5216,MATCH_EXACT,48932980500134,HIGH,true,48932980500142
10,1710,MATCH_EXACT,20006502700019,HIGH,true,20006502700019
11,11262,MATCH_EXACT,39773214000041,HIGH,true,39773214000041
12,10081,MATCH_EXACT,52097289400015,HIGH,true,52097289400015
13,15169,MATCH_EXACT,45387794600054,HIGH,true,45387794600054
14,fresh:FR028848,AMBIGUOUS,,HIGH,false,38396699100119
15,5534,MATCH_EXACT,35063664300040,HIGH,true,35063664300040
16,15448,MATCH_EXACT,98779962400018,HIGH,true,42473837500049
17,9388,MATCH_EXACT,43860010800072,HIGH,true,43860010800072
18,8877,MATCH_EXACT,50772210600048,HIGH,true,50772210600048
19,16721,MATCH_EXACT,75017758600013,HIGH,true,75017758600013
20,9835,MATCH_EXACT,42274306200040,HIGH,true,44995686100040
21,3651,MATCH_EXACT,52272686800022,HIGH,true,52272686800022
22,13522,MATCH_EXACT,44869695500088,HIGH,true,44869695500088
23,9675,MATCH_EXACT,38888534500032,HIGH,true,50530398200027
24,14502,MATCH_EXACT,32178451400051,HIGH,true,32178451400051
25,2454,MATCH_EXACT,33249506800386,HIGH,true,33249506800386
26,5748,MATCH_EXACT,34469182900040,HIGH,true,34469182900040
27,fresh:AC002179,MATCH_EXACT,48007438400011,HIGH,true,80852582800014
28,8019,MATCH_EXACT,82294763600020,HIGH,true,82294763600020
29,15470,MATCH_EXACT,75188876900104,MEDIUM,true,81530792100024
30,7438,MATCH_EXACT,33370766900128,HIGH,true,33370766900128
