query_id,crm_name,original_top1,exploratory_top1,adjudication,label,confidence,correction_effect,error_family
10319,OLYMPIQUE LYONNAIS,38507188100119,38507188100093,38507188100093,MATCH_EXACT,HIGH,FIX,WRONG_SITE_SAME_SIREN
10613,IDEF 86,26860086300115,26860086300016,26860086300115,MATCH_EXACT,HIGH,REGRESSION,SIEGE_BIAS
12061,SPB,82178484000034,30510977900077,30510977900077,MATCH_EXACT,HIGH,FIX,COLOCATED_GROUP_ENTITY
12496,CARREFOUR MARKET,44028375206603,93263285400026,93263285400026,MATCH_EXACT,HIGH,FIX,FORMER_OPERATOR
13168,SPK GROUP,81952269900043,89106734000036,89106734000036,MATCH_EXACT,HIGH,FIX,SUBSIDIARY_VS_GROUP
13266,GROUPE DELAMBRE,33000259300078,97799453200017,40535660100022,MATCH_EXACT,HIGH,NEITHER,RETRIEVAL_MISS_STALE_ADDRESS
13505,MC3 LA MONTAGNE,44943203800015,80835946700020,80835946700020,MATCH_EXACT,HIGH,FIX,COLOCATED_PROPERTY_ENTITY
13923,SIX ARES,88119287600020,91464067700029,84239312600029,MATCH_EXACT,HIGH,NEITHER,RETRIEVAL_MISS_CLOSED_ENTITY
13947,AVOXA,42214714000020,53856370100019,53856370100019,MATCH_EXACT,HIGH,FIX,LOCAL_LEGAL_ENTITY
13958,AXES - SYGMALAB,34882399800045,38884788100058,,AMBIGUOUS,HIGH,AMBIGUOUS,TWO_BRANDS_TWO_LEGAL_ENTITIES
1400,CENTRE HOSPITALIER DE FALAISE,26140100400088,26140100400013,26140100400013,MATCH_EXACT,HIGH,FIX,SUPPORT_SITE_VS_HOSPITAL
14388,CHATEAU FERRIERES EN BRIE,18750007900046,81115948200017,81115948200017,MATCH_EXACT,HIGH,FIX,FORMER_OWNER_VS_OPERATOR
14474,SCADIF REAU,32754405200035,41396735700026,41396735700026,MATCH_EXACT,HIGH,FIX,COLOCATED_PROPERTY_ENTITY
14810,A-SAFE,82256820000023,53980820400033,53980820400033,MATCH_EXACT,HIGH,FIX,COLOCATED_PROPERTY_ENTITY
14915,DELISLE SAS LA FERTE GAUCHER,31547444500022,38349340000014,38349340000014,MATCH_EXACT,HIGH,FIX,SUBSIDIARY_VS_EXACT_LEGAL_NAME
1501,GROUPE VIKINGS,38377222500025,42137406700021,,AMBIGUOUS,MEDIUM,AMBIGUOUS,NO_EXACT_NAME_AMONG_COLOCATED_ENTITIES
15110,BOUCHE DISTRIBUTION HYPER E-LECLERC,32954462100025,32543762200013,32543762200013,MATCH_EXACT,HIGH,FIX,COLOCATED_PROPERTY_ENTITY
15330,CLINIQUE DE TOURNAN,93497059100012,43414432500041,32711362700019,MATCH_EXACT,HIGH,NEITHER,RANKER_MISSED_TRUE_CANDIDATE_RANK23
1545,COMMUNE D'AMFREVILLE,21140009800078,21140009800011,21140009800011,MATCH_EXACT,HIGH,FIX,MUNICIPAL_SUBSITE_VS_MAIN_ENTITY
16308,OPH COMMUNAUTAIRE DE PLAINE COMMUNE - SIEGE PCH,94793688600011,48274107100021,48274107100021,MATCH_EXACT,HIGH,FIX,COLOCATED_PROPERTY_ENTITY
16784,ASSOCIATION DIOCESAINE DE CRETEIL,34081848300489,34081848300018,34081848300018,MATCH_EXACT,HIGH,FIX,WRONG_SITE_SAME_SIREN
1828,IN CONCEPT,31804514300035,31804514300027,31804514300027,MATCH_EXACT,MEDIUM,FIX,BRANDED_SUBSITE_VS_GENERIC_CRM
2107,SERV & VOUS,48125862200051,48125862200044,48125862200044,MATCH_EXACT,MEDIUM,FIX,ADDRESS_SUFFIX_AND_ACTIVITY
2318,BONNABELLE & CIE,30985685400018,76680017100015,76680017100015,MATCH_EXACT,HIGH,FIX,COLOCATED_PROPERTY_ENTITY
