query_id,label_kind,ground_truth_siret,reliability,error_family,evidence_reference,cohort,source_file
10081,MATCH_EXACT,52097289400015,HIGH,ADJUDICATED_REVIEW,reports/v412_review_adjudication_labels.csv,R30,reports/v412_review_adjudication_labels.csv
10242,MATCH_EXACT,44516442900034,HIGH,EXACT_NAME_ADDRESS,https://annuaire-entreprises.data.gouv.fr/entreprise/445164429,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
10251,MATCH_EXACT,82875878900022,HIGH,MARKET_COLOCATION_CURRENT_SIRET,https://api-avis-situation-sirene.insee.fr/identification/pdf/82875878900022,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
10319,MATCH_EXACT,38507188100093,HIGH,WRONG_SITE_SAME_SIREN,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
10395,AMBIGUOUS,,HIGH,TWO_ACTIVE_SAME_SIREN_SAME_ADDRESS,reports/v412_ranker_independent_validation_labels.csv,R7,reports/v412_ranker_independent_validation_labels.csv
10492,MATCH_EXACT,50155501500038,HIGH,LEGAL_ENTITY_AMONG_COLOCATED_GROUP,https://www.pappers.fr/entreprise/auvalie-501555015,BLIND_B1,reports/v412_clean_target_independent_labels_30.csv
10522,MATCH_EXACT,44513584100036,HIGH,EXACT_NAME_ADDRESS,https://www.edipack.fr/edipack-competences.html,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
10567,MATCH_EXACT,30540504500132,HIGH,EXACT_SITE,https://catalogue-apprentissage.intercariforef.org/formation/116787P01113054050450013230540504500132-86194%23L01,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
10612,AMBIGUOUS,,HIGH,COLOCATED_BRAND_ENTITIES,https://catalog.kingtony.eu/fr/content/2-mentions-legales,BLIND_FINAL39,reports/v412_clean_target_independent_final39_labels.csv
10613,MATCH_EXACT,26860086300115,HIGH,SIEGE_BIAS,reports/v412_review_rerank_counteraudit_53.csv,R53,reports/v412_review_rerank_counteraudit_53.csv
10614,MATCH_EXACT,41107057600037,HIGH,BRAND_LEGALNAME_COLOCATED_HOLDING,https://www.pappers.fr/entreprise/sas-poitou-adhesifs-411070576,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
10683,MATCH_EXACT,34486933400112,HIGH,MULTISITE_NAME_ADDRESS_EXACT,https://www.groupevinet.fr/rgpd,BLIND_B2,reports/v412_clean_target_independent_b2_labels_30.csv
