crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank
     Logikart SARL,1 Avenue Louis Mouillard,69500,BRON,32022857000109,0.9457260370254517,MBH ET MBH AZUR ET MBH FRET,1 AV LOUIS MOUILLARD,BRON,69500,69029,1
     Logikart SARL,1 Avenue Louis Mouillard,69500,BRON,83033356300013,0.7317323684692383,FBT FONCIERE BOURG DE THIZY,1 RUE LABORDE,BRON,69500,69029,2
     Logikart SARL,1 Avenue Louis Mouillard,69500,BRON,51036179300027,0.6696208119392395,GROUP SIMANE INTERNATIONAL BUSINESS,1 RUE LABORDE,BRON,69500,69029,3
     Logikart SARL,1 Avenue Louis Mouillard,69500,BRON,53785323600025,0.6604568958282471,TFTLABS,1 ALLEE DES SORBIERS,BRON,69500,69029,4
     Logikart SARL,1 Avenue Louis Mouillard,69500,BRON,92445647800016,0.6566734910011292,"ALYBRA, AMIS DE LYON BRON AEROPORT",AV LOUIS MOUILLARD,BRON,69500,69029,5
     MAGELEC,290 Rue Ferdinand Perrier,69800,SAINT-PRIEST,37904780600037,0.9998751878738403,MAGELEC,290 RUE FERDINAND PERRIER,SAINT-PRIEST,69800,69290,1
     MAGELEC,290 Rue Ferdinand Perrier,69800,SAINT-PRIEST,53068388700026,0.9717106223106384,QUALI ELEC,290 RUE FERDINAND PERRIER,SAINT-PRIEST,69800,69290,2
     MAGELEC,290 Rue Ferdinand Perrier,69800,SAINT-PRIEST,84041731500032,0.962578296661377,COLIS TRANSPORT,290 RUE FERDINAND PERRIER,SAINT-PRIEST,69800,69290,3
     MAGELEC,290 Rue Ferdinand Perrier,69800,SAINT-PRIEST,49777628600039,0.9617511630058289,TR SERVICES,290 RUE FERDINAND PERRIER,SAINT-PRIEST,69800,69290,4
     MAGELEC,290 Rue Ferdinand Perrier,69800,SAINT-PRIEST,35330472800093,0.9549655914306641,TECHNIPIPE,290 RUE FERDINAND PERRIER,SAINT-PRIEST,69800,69290,5
     SAINTE FOY IMMOBILIER,3 Place Charles de Gaulle,69130,ECULLY,34171297400037,0.999077558517456,STE FOY IMMOBILIER,3 PLACE CHARLES DE GAULLE,ECULLY,69130,69081,1
