crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,rank,shap
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,82875878900022,0.9995742440223694,GE FRUITS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,1,"{""bias"": 1.1616770029067993, ""margin"": 7.761257171630859, ""prob_from_margin"": 0.9995742605428527, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": 2.3399851322174072, ""value"": 1.000000238418579, ""model_input"": 1.000000238418579}, {""feature"": ""name_token_overlap_max"", ""shap"": 1.0695123672485352, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""token_overlap_ul"", ""shap"": 1.0018339157104492, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_sim_max_etab"", ""shap"": -0.6606513857841492, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""addr_token_overlap"", ""shap"": 0.6541638374328613, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_crm_contains_cand_max"", ""shap"": 0.5980787873268127, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_semantic_second"", ""shap"": 0.5219297409057617, ""value"": 1.000000238418579, ""model_input"": 1.000000238418579}, {""feature"": ""street_number_diff"", ""shap"": 0.3999868631362915, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": 0.33740365505218506, ""value"": 0.7333333333333334, ""model_input"": 0.7333333333333334}, {""feature"": ""name_addr_consistency"", ""shap"": 0.3243013024330139, ""value"": 1.0, ""model_input"": 1.0}]}"
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,89124205900014,0.9985993504524231,GE FRUITS HOLDING,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,2,"{""bias"": 1.1616770029067993, ""margin"": 6.569410800933838, ""prob_from_margin"": 0.9985993410041221, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": 2.1637637615203857, ""value"": 0.9232966303825378, ""model_input"": 0.9232966303825378}, {""feature"": ""name_token_overlap_max"", ""shap"": 0.943210780620575, ""value"": 0.6666666666666666, ""model_input"": 0.6666666666666666}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": 0.8979973196983337, ""value"": 0.7333333333333334, ""model_input"": 0.7333333333333334}, {""feature"": ""token_overlap_ul"", ""shap"": 0.8928003907203674, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_sim_max_etab"", ""shap"": -0.8154717683792114, ""value"": 0.7333333333333334, ""model_input"": 0.7333333333333334}, {""feature"": ""addr_token_overlap"", ""shap"": 0.552282452583313, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""street_number_diff"", ""shap"": 0.5259217023849487, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_addr_consistency"", ""shap"": 0.25342628359794617, ""value"": 0.9058823529411765, ""model_input"": 0.9058823529411765}, {""feature"": ""type_of_max_name"", ""shap"": 0.2010028064250946, ""value"": 7.0, ""model_input"": 7.0}, {""feature"": ""is_siege"", ""shap"": 0.19936656951904297, ""value"": 1.0, ""model_input"": 1.0}]}"
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,48170771900029,0.9972410202026367,LUCEN FRUITS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,3,"{""bias"": 1.1616770029067993, ""margin"": 5.890117168426514, ""prob_from_margin"": 0.9972409807339859, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": 1.0685420036315918, ""value"": 0.6654540300369263, ""model_input"": 0.6654540300369263}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": 1.0314878225326538, ""value"": 0.5714285714285715, ""model_input"": 0.5714285714285715}, {""feature"": ""token_overlap_ul"", ""shap"": 0.9787212610244751, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""addr_token_overlap"", ""shap"": 0.9130941033363342, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""street_number_diff"", ""shap"": 0.7021390199661255, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_token_overlap_max"", ""shap"": 0.5537053942680359, ""value"": 0.3333333333333333, ""model_input"": 0.3333333333333333}, {""feature"": ""type_of_max_name"", ""shap"": 0.2895219624042511, ""value"": 7.0, ""model_input"": 7.0}, {""feature"": ""name_count"", ""shap"": -0.28330981731414795, ""value"": 4.0, ""model_input"": 4.0}, {""feature"": ""addr_jaro"", ""shap"": 0.2691982388496399, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_sim_max_etab"", ""shap"": -0.23842070996761322, ""value"": 0.5714285714285715, ""model_input"": 0.5714285714285715}]}"
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,51112302800017,0.9965544939041138,RHONE FRUITS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,4,"{""bias"": 1.1616770029067993, ""margin"": 5.667239665985107, ""prob_from_margin"": 0.9965545167156288, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": 1.4865033626556396, ""value"": 0.6938967704772949, ""model_input"": 0.6938967704772949}, {""feature"": ""addr_token_overlap"", ""shap"": 0.8622733354568481, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": 0.7844836711883545, ""value"": 0.5962962962962962, ""model_input"": 0.5962962962962962}, {""feature"": ""token_overlap_ul"", ""shap"": 0.7512691020965576, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""street_number_diff"", ""shap"": 0.6125655174255371, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_token_overlap_max"", ""shap"": 0.5059574842453003, ""value"": 0.3333333333333333, ""model_input"": 0.3333333333333333}, {""feature"": ""name_semantic_second"", ""shap"": 0.35421666502952576, ""value"": 0.6918383240699768, ""model_input"": 0.6918383240699768}, {""feature"": ""name_sim_max_etab"", ""shap"": -0.3451915681362152, ""value"": 0.5962962962962962, ""model_input"": 0.5962962962962962}, {""feature"": ""addr_levenshtein"", ""shap"": 0.30259087681770325, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_semantic_gap"", ""shap"": -0.23351478576660156, ""value"": 0.0020584464073181152, ""model_input"": 0.0020584464073181152}]}"
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,50743546900022,0.9822179675102234,RHONE ALPES FRUITS ET LEGUMES,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,5,"{""bias"": 1.1616770029067993, ""margin"": 4.011626243591309, ""prob_from_margin"": 0.9822179942999751, ""top"": [{""feature"": ""addr_token_overlap"", ""shap"": 1.0040589570999146, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""street_number_diff"", ""shap"": 0.7171788215637207, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": -0.6684132218360901, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_token_overlap_max"", ""shap"": 0.6504653692245483, ""value"": 0.3333333333333333, ""model_input"": 0.3333333333333333}, {""feature"": ""token_overlap_ul"", ""shap"": 0.6433373689651489, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_semantic_second"", ""shap"": 0.5916305184364319, ""value"": 0.5990846157073975, ""model_input"": 0.5990846157073975}, {""feature"": ""name_semantic_max"", ""shap"": 0.4819885492324829, ""value"": 0.6255797147750854, ""model_input"": 0.6255797147750854}, {""feature"": ""addr_jaro"", ""shap"": 0.39370205998420715, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_sim_max_etab"", ""shap"": -0.33494818210601807, ""value"": 0.5549169859514688, ""model_input"": 0.5549169859514688}, {""feature"": ""is_siege"", ""shap"": 0.26570117473602295, ""value"": 1.0, ""model_input"": 1.0}]}"
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,77564828000037,0.9948561191558838,ADAPEI L OISEAU BLANC,50 RUE NUNGESSER,DECINES-CHARPIEU,69150,69275,1,"{""bias"": 1.1616770029067993, ""margin"": 5.2648024559021, ""prob_from_margin"": 0.9948561813612359, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": 2.2827084064483643, ""value"": 0.781417965888977, ""model_input"": 0.781417965888977}, {""feature"": ""addr_token_overlap"", ""shap"": 0.8765532970428467, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""street_number_diff"", ""shap"": 0.6312204003334045, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_token_overlap_max"", ""shap"": 0.5932110548019409, ""value"": 0.3333333333333333, ""model_input"": 0.3333333333333333}, {""feature"": ""name_sim_max_etab"", ""shap"": -0.5668730735778809, ""value"": 0.720899470899471, ""model_input"": 0.720899470899471}, {""feature"": ""name_semantic_second"", ""shap"": 0.5258370041847229, ""value"": 0.5840785503387451, ""model_input"": 0.5840785503387451}, {""feature"": ""name_levenshtein_max"", ""shap"": -0.33318856358528137, ""value"": 0.29166666666666663, ""model_input"": 0.29166666666666663}, {""feature"": ""addr_jaro"", ""shap"": 0.30201786756515503, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": -0.2834715247154236, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""token_overlap_ul"", ""shap"": 0.28088757395744324, ""value"": 0.3333333333333333, ""model_input"": 0.3333333333333333}]}"
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,21690275900010,0.912124752998352,MAIRIE,PLACE ROGER SALENGRO,DECINES-CHARPIEU,69150,69275,2,"{""bias"": 1.1616770029067993, ""margin"": 2.339859962463379, ""prob_from_margin"": 0.91212486137599, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": -1.9902771711349487, ""value"": 0.46534356474876404, ""model_input"": 0.46534356474876404}, {""feature"": ""name_city_overlap_max"", ""shap"": 1.7034265995025635, ""value"": 0.5, ""model_input"": 0.5}, {""feature"": ""is_siege"", ""shap"": 0.6339350342750549, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_sim_max_etab"", ""shap"": 0.4250498414039612, ""value"": 0.4305555555555555, ""model_input"": 0.4305555555555555}, {""feature"": ""name_token_overlap_max"", ""shap"": -0.40671655535697937, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": -0.3958861231803894, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""type_of_max_name"", ""shap"": 0.3790063261985779, ""value"": 7.0, ""model_input"": 7.0}, {""feature"": ""name_levenshtein_max"", ""shap"": -0.3607940077781677, ""value"": 0.2222222222222222, ""model_input"": 0.2222222222222222}, {""feature"": ""name_length_max"", ""shap"": 0.3158901333808899, ""value"": 27.0, ""model_input"": 27.0}, {""feature"": ""name_count"", ""shap"": 0.3111096918582916, ""value"": 2.0, ""model_input"": 2.0}]}"
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,43134405000015,0.6901431679725647,ASS CERCLE 11 DECINES,12 RUE CARNOT,DECINES-CHARPIEU,69150,69275,3,"{""bias"": 1.1616770029067993, ""margin"": 0.8007891178131104, ""prob_from_margin"": 0.6901432557693897, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": -1.2076241970062256, ""value"": 0.5214101076126099, ""model_input"": 0.5214101076126099}, {""feature"": ""type_of_max_name"", ""shap"": 0.7754765152931213, ""value"": 7.0, ""model_input"": 7.0}, {""feature"": ""name_sim_max_etab"", ""shap"": 0.7325170636177063, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""street_number_diff"", ""shap"": -0.5566958785057068, ""value"": 38.0, ""model_input"": 38.0}, {""feature"": ""name_city_overlap_max"", ""shap"": 0.5160163640975952, ""value"": 0.2, ""model_input"": 0.2}, {""feature"": ""name_semantic_second"", ""shap"": -0.4706263542175293, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_token_overlap_max"", ""shap"": -0.42691925168037415, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": -0.36866793036460876, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""addr_levenshtein"", ""shap"": -0.36448347568511963, ""value"": 0.3125, ""model_input"": 0.3125}, {""feature"": ""token_overlap_ul"", ""shap"": -0.353828489780426, ""value"": 0.0, ""model_input"": 0.0}]}"
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,91812179900012,0.6245798468589783,CHAMP BLANC,21 RUE PAUL ET MARC BARBEZAT,DECINES-CHARPIEU,69150,69275,4,"{""bias"": 1.1616770029067993, ""margin"": 0.5090327262878418, ""prob_from_margin"": 0.6245796955708034, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": -1.7318408489227295, ""value"": 0.5104153752326965, ""model_input"": 0.5104153752326965}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": 0.7340475916862488, ""value"": 0.4861111111111111, ""model_input"": 0.4861111111111111}, {""feature"": ""type_of_max_name"", ""shap"": 0.684005618095398, ""value"": 7.0, ""model_input"": 7.0}, {""feature"": ""token_overlap_ul"", ""shap"": 0.6272191405296326, ""value"": 0.3333333333333333, ""model_input"": 0.3333333333333333}, {""feature"": ""street_number_diff"", ""shap"": -0.590002179145813, ""value"": 29.0, ""model_input"": 29.0}, {""feature"": ""name_addr_consistency"", ""shap"": 0.44915297627449036, ""value"": 0.35164290533834175, ""model_input"": 0.35164290533834175}, {""feature"": ""name_semantic_second"", ""shap"": -0.4152553379535675, ""value"": 0.24430117011070251, ""model_input"": 0.24430117011070251}, {""feature"": ""addr_token_overlap"", ""shap"": -0.38935714960098267, ""value"": 0.125, ""model_input"": 0.125}, {""feature"": ""name_sim_max_etab"", ""shap"": 0.37156814336776733, ""value"": 0.4861111111111111, ""model_input"": 0.4861111111111111}, {""feature"": ""name_count"", ""shap"": 0.3402179777622223, ""value"": 2.0, ""model_input"": 2.0}]}"
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,94962465400016,0.6198130249977112,DECINES GRAND LARGE IMMOBILIER,14 RUE DE LA FRATERNITE,DECINES-CHARPIEU,69150,69275,5,"{""bias"": 1.1616770029067993, ""margin"": 0.4887549877166748, ""prob_from_margin"": 0.619813095439595, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": -1.310103416442871, ""value"": 0.5319372415542603, ""model_input"": 0.5319372415542603}, {""feature"": ""name_city_overlap_max"", ""shap"": 0.7368711829185486, ""value"": 0.2, ""model_input"": 0.2}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": 0.7231085300445557, ""value"": 0.5482323232323232, ""model_input"": 0.5482323232323232}, {""feature"": ""street_number_diff"", ""shap"": -0.6287823915481567, ""value"": 36.0, ""model_input"": 36.0}, {""feature"": ""type_of_max_name"", ""shap"": 0.5856607556343079, ""value"": 7.0, ""model_input"": 7.0}, {""feature"": ""is_siege"", ""shap"": 0.5095387101173401, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_token_overlap_max"", ""shap"": -0.4495515823364258, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""token_overlap_ul"", ""shap"": -0.3654562830924988, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_addr_consistency"", ""shap"": 0.35205593705177307, ""value"": 0.3395332908391483, ""model_input"": 0.3395332908391483}, {""feature"": ""street_name_jaro"", ""shap"": 0.346690833568573, ""value"": 0.5818681318681319, ""model_input"": 0.5818681318681319}]}"
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,77564828000300,0.9931735396385193,FOYER LE GRAND LARGE,216 RUE MARINO SIMONETTI,DECINES-CHARPIEU,69150,69275,1,"{""bias"": 1.1616770029067993, ""margin"": 4.980093479156494, ""prob_from_margin"": 0.9931735013861832, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": 2.3489792346954346, ""value"": 0.854427695274353, ""model_input"": 0.854427695274353}, {""feature"": ""addr_token_overlap"", ""shap"": 0.836885929107666, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_semantic_second"", ""shap"": 0.6622141003608704, ""value"": 0.6109691858291626, ""model_input"": 0.6109691858291626}, {""feature"": ""street_number_diff"", ""shap"": 0.6613792777061462, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_token_overlap_max"", ""shap"": 0.5533755421638489, ""value"": 0.3333333333333333, ""model_input"": 0.3333333333333333}, {""feature"": ""name_sim_max_etab"", ""shap"": -0.542193591594696, ""value"": 0.6267080745341614, ""model_input"": 0.6267080745341614}, {""feature"": ""name_addr_consistency"", ""shap"": -0.3554825782775879, ""value"": 0.6267080745341614, ""model_input"": 0.6267080745341614}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": -0.3185243010520935, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""addr_jaro"", ""shap"": 0.30138373374938965, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""addr_levenshtein"", ""shap"": 0.2522449791431427, ""value"": 1.0, ""model_input"": 1.0}]}"
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,88915823400019,0.9793810248374939,IMMERSION GRAND LARGE,44 RUE DE LA REPUBLIQUE,DECINES-CHARPIEU,69150,69275,2,"{""bias"": 1.1616770029067993, ""margin"": 3.8607072830200195, ""prob_from_margin"": 0.9793809903953953, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": 1.077526569366455, ""value"": 0.6577016115188599, ""model_input"": 0.6577016115188599}, {""feature"": ""token_overlap_ul"", ""shap"": 1.0769317150115967, ""value"": 0.6666666666666666, ""model_input"": 0.6666666666666666}, {""feature"": ""name_sim_max_etab"", ""shap"": 1.0275330543518066, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_token_overlap_max"", ""shap"": 0.7730883359909058, ""value"": 0.4, ""model_input"": 0.4}, {""feature"": ""type_of_max_name"", ""shap"": 0.5369524955749512, ""value"": 7.0, ""model_input"": 7.0}, {""feature"": ""street_number_diff"", ""shap"": -0.3977234959602356, ""value"": 172.0, ""model_input"": 172.0}, {""feature"": ""name_semantic_second"", ""shap"": -0.388773113489151, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""addr_token_overlap"", ""shap"": -0.3764194846153259, ""value"": 0.125, ""model_input"": 0.125}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": -0.37108585238456726, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""addr_levenshtein"", ""shap"": -0.3167845606803894, ""value"": 0.20833333333333337, ""model_input"": 0.20833333333333337}]}"
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,77564828000037,0.9625434875488281,ADAPEI L OISEAU BLANC,50 RUE NUNGESSER,DECINES-CHARPIEU,69150,69275,3,"{""bias"": 1.1616770029067993, ""margin"": 3.2463979721069336, ""prob_from_margin"": 0.9625434629303637, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": 2.945240020751953, ""value"": 0.854427695274353, ""model_input"": 0.854427695274353}, {""feature"": ""name_semantic_second"", ""shap"": 0.7600989937782288, ""value"": 0.6960852146148682, ""model_input"": 0.6960852146148682}, {""feature"": ""street_number_diff"", ""shap"": -0.6960142254829407, ""value"": 166.0, ""model_input"": 166.0}, {""feature"": ""token_overlap_ul"", ""shap"": 0.615003228187561, ""value"": 0.3333333333333333, ""model_input"": 0.3333333333333333}, {""feature"": ""addr_token_overlap"", ""shap"": -0.584743320941925, ""value"": 0.16666666666666666, ""model_input"": 0.16666666666666666}, {""feature"": ""name_addr_consistency"", ""shap"": 0.4716564416885376, ""value"": 0.3430617859059888, ""model_input"": 0.3430617859059888}, {""feature"": ""name_token_overlap_max"", ""shap"": -0.3857964873313904, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": -0.37015992403030396, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_sim_max_etab"", ""shap"": -0.36746329069137573, ""value"": 0.5588336783988958, ""model_input"": 0.5588336783988958}, {""feature"": ""addr_jaro"", ""shap"": -0.34283724427223206, ""value"": 0.6138888888888889, ""model_input"": 0.6138888888888889}]}"
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,94962465400016,0.9612780213356018,DECINES GRAND LARGE IMMOBILIER,14 RUE DE LA FRATERNITE,DECINES-CHARPIEU,69150,69275,4,"{""bias"": 1.1616770029067993, ""margin"": 3.2118563652038574, ""prob_from_margin"": 0.9612780234515974, ""top"": [{""feature"": ""token_overlap_ul"", ""shap"": 1.0204745531082153, ""value"": 0.6666666666666666, ""model_input"": 0.6666666666666666}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": 0.8952392339706421, ""value"": 0.5449275362318841, ""model_input"": 0.5449275362318841}, {""feature"": ""street_number_diff"", ""shap"": -0.7482185363769531, ""value"": 202.0, ""model_input"": 202.0}, {""feature"": ""name_token_overlap_max"", ""shap"": 0.7414532899856567, ""value"": 0.3333333333333333, ""model_input"": 0.3333333333333333}, {""feature"": ""addr_token_overlap"", ""shap"": -0.5990889668464661, ""value"": 0.125, ""model_input"": 0.125}, {""feature"": ""type_of_max_name"", ""shap"": 0.5741987228393555, ""value"": 7.0, ""model_input"": 7.0}, {""feature"": ""is_siege"", ""shap"": 0.46906617283821106, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_city_overlap_max"", ""shap"": 0.4053865969181061, ""value"": 0.2, ""model_input"": 0.2}, {""feature"": ""name_semantic_max"", ""shap"": 0.3532088100910187, ""value"": 0.6010009050369263, ""model_input"": 0.6010009050369263}, {""feature"": ""name_levenshtein_max"", ""shap"": -0.23791709542274475, ""value"": 0.4666666666666667, ""model_input"": 0.4666666666666667}]}"
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,38438227100011,0.9442710876464844,CENTRE CONTROLE ET SECURITE GRAND LARGE,24 RUE BALZAC,DECINES CHARPIEU,69150,69275,5,"{""bias"": 1.1616770029067993, ""margin"": 2.8299131393432617, ""prob_from_margin"": 0.9442710313576046, ""top"": [{""feature"": ""token_overlap_ul"", ""shap"": 1.1798044443130493, ""value"": 0.6666666666666666, ""model_input"": 0.6666666666666666}, {""feature"": ""street_number_diff"", ""shap"": -0.8152626752853394, ""value"": 192.0, ""model_input"": 192.0}, {""feature"": ""name_semantic_max"", ""shap"": -0.7042210698127747, ""value"": 0.5733528733253479, ""model_input"": 0.5733528733253479}, {""feature"": ""type_of_max_name"", ""shap"": 0.6978382468223572, ""value"": 7.0, ""model_input"": 7.0}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": 0.5553662776947021, ""value"": 0.4603864734299517, ""model_input"": 0.4603864734299517}, {""feature"": ""name_addr_consistency"", ""shap"": 0.3874768316745758, ""value"": 0.32749679663001846, ""model_input"": 0.32749679663001846}, {""feature"": ""name_count"", ""shap"": 0.2955678701400757, ""value"": 2.0, ""model_input"": 2.0}, {""feature"": ""street_name_jaro"", ""shap"": 0.25897476077079773, ""value"": 0.5833333333333334, ""model_input"": 0.5833333333333334}, {""feature"": ""name_sim_max_etab"", ""shap"": 0.2037031352519989, ""value"": 0.4603864734299517, ""model_input"": 0.4603864734299517}, {""feature"": ""name_token_overlap_max"", ""shap"": 0.1910882294178009, ""value"": 0.25, ""model_input"": 0.25}]}"
ADEL,29 Boulevard Charles de Gaulle,69150,DECINES-CHARPIEU,95650716400021,0.9995046854019165,ADEL,29 BOULEVARD CHARLES DE GAULLE,DECINES-CHARPIEU,69150,69275,1,"{""bias"": 1.1616770029067993, ""margin"": 7.6098856925964355, ""prob_from_margin"": 0.9995047169290601, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": 2.1643693447113037, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""token_overlap_ul"", ""shap"": 0.9703581929206848, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_token_overlap_max"", ""shap"": 0.94362473487854, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_sim_max_etab"", ""shap"": -0.7261877655982971, ""value"": 0.9142857142857143, ""model_input"": 0.9142857142857143}, {""feature"": ""addr_token_overlap"", ""shap"": 0.579969584941864, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": 0.508609414100647, ""value"": 0.9142857142857143, ""model_input"": 0.9142857142857143}, {""feature"": ""street_number_diff"", ""shap"": 0.3990716338157654, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_crm_contains_cand_max"", ""shap"": 0.3877553641796112, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_sim_max_ul"", ""shap"": 0.30390945076942444, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_semantic_second"", ""shap"": 0.2874096930027008, ""value"": 0.7882568836212158, ""model_input"": 0.7882568836212158}]}"
ADEL,29 Boulevard Charles de Gaulle,69150,DECINES-CHARPIEU,84214049300011,0.9990147352218628,ADEL ZZ,29 BOULEVARD CHARLES DE GAULLE,DECINES-CHARPIEU,69150,69275,2,"{""bias"": 1.1616770029067993, ""margin"": 6.921647548675537, ""prob_from_margin"": 0.99901476785709, ""top"": [{""feature"": ""name_semantic_max"", ""shap"": 2.047520160675049, ""value"": 0.7882568836212158, ""model_input"": 0.7882568836212158}, {""feature"": ""name_token_overlap_max"", ""shap"": 0.8533915877342224, ""value"": 0.5, ""model_input"": 0.5}, {""feature"": ""token_overlap_ul"", ""shap"": 0.8168590068817139, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""addr_token_overlap"", ""shap"": 0.54045569896698, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""street_number_diff"", ""shap"": 0.52400141954422, ""value"": 0.0, ""model_input"": 0.0}, {""feature"": ""name_sim_max_pm_dirigeant"", ""shap"": 0.49606916308403015, ""value"": 0.4583333333333333, ""model_input"": 0.4583333333333333}, {""feature"": ""name_semantic_second"", ""shap"": -0.2915518283843994, ""value"": 0.2627589702606201, ""model_input"": 0.2627589702606201}, {""feature"": ""name_addr_consistency"", ""shap"": 0.2760496437549591, ""value"": 0.9142857142857143, ""model_input"": 0.9142857142857143}, {""feature"": ""addr_jaro"", ""shap"": 0.2257704734802246, ""value"": 1.0, ""model_input"": 1.0}, {""feature"": ""name_length_max"", ""shap"": -0.18976497650146484, ""value"": 7.0, ""model_input"": 7.0}]}"
