crm_name,crm_address,crm_postcode,crm_city,siret_candidate,score,candidate_name,candidate_addr,candidate_city,candidate_postcode,candidate_insee,candidate_state,candidate_last_treatment_date,rank,shap
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,82875878900022,0.9995742440223694,GE FRUITS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2025-01-26 02:16:14,1,
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,89124205900014,0.9985993504524231,GE FRUITS HOLDING,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2025-07-17 13:57:38,2,
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,48170771900029,0.9972410202026367,LUCEN FRUITS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2025-01-30 03:02:00,3,
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,51112302800017,0.9965544939041138,RHONE FRUITS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,OUVERT,2025-04-29 11:26:25,4,
 GE FRUITS,69 Rue Marcel Mérieux,69960,CORBAS,53794135300022,0.9961218237876892,FRIENDS FRUITS,69 RUE MARCEL MERIEUX,CORBAS,69960,69273,FERME,2025-01-18 03:19:57,5,
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,77564828000037,0.9948561191558838,ADAPEI L OISEAU BLANC,50 RUE NUNGESSER,DECINES-CHARPIEU,69150,69275,OUVERT,2024-03-30 01:36:26,1,
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,21690275900010,0.912124752998352,MAIRIE,PLACE ROGER SALENGRO,DECINES-CHARPIEU,69150,69275,OUVERT,2025-02-15 02:15:08,2,
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,77982139600024,0.8924244046211243,RESIDENCE LE MONT BLANC,37 RUE DE L'EGALITE,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 04:05:45,3,
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,77564828000557,0.7540343403816223,HALTE DE MONTABERLET,50 RUE NUNGESSER,DECINES-CHARPIEU,69150,69275,FERME,2025-02-17 02:15:20,4,
05-OISEAU BLANC adapei69,50 RUE NUNGESSER,69150,DECINES CHARPIEU,91812179900012,0.6245798468589783,CHAMP BLANC,21 RUE PAUL ET MARC BARBEZAT,DECINES-CHARPIEU,69150,69275,OUVERT,2025-01-30 02:06:53,5,
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,77564828000300,0.9931735396385193,FOYER LE GRAND LARGE,216 RUE MARINO SIMONETTI,DECINES-CHARPIEU,69150,69275,OUVERT,2025-02-18 02:10:10,1,
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,88915823400019,0.9793810248374939,IMMERSION GRAND LARGE,44 RUE DE LA REPUBLIQUE,DECINES-CHARPIEU,69150,69275,OUVERT,2025-01-20 02:36:58,2,
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,32208463300013,0.9757404923439026,ASS DEFENSE GRAND LARGE ET ENVIRONNEMENT,1 RUE PAUL LANGEVIN,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 02:27:00,3,
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,94962465400016,0.9612780213356018,DECINES GRAND LARGE IMMOBILIER,14 RUE DE LA FRATERNITE,DECINES-CHARPIEU,69150,69275,OUVERT,2025-01-17 02:53:10,4,
10-GRAND  LARGE ADAPEI69, 216 Rue Marino Simonetti,69150,DECINES CHARPIEU,96950931400015,0.9581406116485596,SOCIETE IMMOBILIERE DU GRAND LARGE,2 AVENUE LEON BLUM,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 08:08:59,5,
ADEL,29 Boulevard Charles de Gaulle,69150,DECINES-CHARPIEU,95650716400021,0.9995046854019165,ADEL,29 BOULEVARD CHARLES DE GAULLE,DECINES-CHARPIEU,69150,69275,OUVERT,2025-02-15 02:12:15,1,
ADEL,29 Boulevard Charles de Gaulle,69150,DECINES-CHARPIEU,95650716400039,0.9992324113845825,ADEL,29 BOULEVARD CHARLES DE GAULLE,DECINES-CHARPIEU,69150,69275,FERME,2024-03-30 12:38:57,2,
